 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 DE-BW-0192 ; Hirschhorner Hals ;192; K4105 ; 8.9025 ; 49.44183 
 DE-BW-0212 ; Melacpass ;212; R1 ; 8.78006 ; 49.38497 
 DE-BW-0221 ; Selbacher Höhe ;221; Str ; 8.31119 ; 48.78278 
 DE-BW-0235 ; Eck Kapelle ;235; Str (W) ; 8.02264 ; 48.40736 
 DE-BW-0256 ; Kreuzebene ;256; Str ;8.000000; 48.48289 
 DE-BW-0275 ; Hilsbacher Höhe ;275; Str ; 8.01233 ; 48.49967 
 DE-BW-0277 ; Oberbachsattel ;277; Str(S) ; 8.03017 ; 48.30456 
 DE-BW-0280 ; Rohrbacher Höhe ;280; R1 ; 8.03444 ; 48.51703 
 DE-BW-0288 ; Rebeck ;288; S1 ; 8.04772 ; 48.34022 
 DE-BW-0292 ; Heuberger Eck ;292; R1 ; 8.08158 ; 48.51028 
 DE-BW-0307 ; Tiergartner Höhe ;307; Str ; 8.08061 ; 48.55786 
 DE-BW-0310 ; Pragsattel ;310; B10 ; 9.18364 ; 48.80972 
 DE-BW-0323 ; Leheneck ;323; R1 ; 7.89242 ; 48.04008 
 DE-BW-0325 ; Bottenauer Eck ;325; R1 ; 8.06794 ; 48.51253 
 DE-BW-0325a ; Stürzelbacher Höhe ;325; Str (S), R1 ; 8.04461 ; 48.49403 
 DE-BW-0330 ; Wilde Steige ;330; Str (N) ; 7.632 ; 48.06269 
 DE-BW-0334 ; Freudentaler Eck ;334; R1 ; 7.98686 ; 48.44586 
 DE-BW-0336 ; Kreuzenbuckpass ;336; Str ; 7.63953 ; 48.0615 
 DE-BW-0338 ; Satteleck ;338; R1 ; 8.04425 ; 48.40914 
 DE-BW-0339 ; Wonnhaldesattel ;339; Str ; 7.83781 ; 47.97169 
 DE-BW-0345 ; Eck ;345; R1 ; 8.07811 ; 48.36061 
 DE-BW-0345a ; Langeck ;345; R1 ; 8.03139 ; 48.439 
 DE-BW-0346 ; Vogelsangpass ;377; L115 ; 7.69153 ; 48.08647 
