 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 AD-02-1903 ; Coll de la Cauba ;1903;; 1.618081 ; 42.577794 
 AD-02-1951 ; Collet de Montaup ;1951; C.S.N°240 ; 1.587527 ; 42.569161 
 AD-02-1983 ; Coll d’Ordino ;1983; C.S.N°340-C.S.N°240 ; 1.571787 ; 42.555509 
 AD-02-2107 ; Collada de les Vaques ;2107; GR11, S2 ; 1.569198 ; 42.56338 
 AD-02-2141 ; Coll dels Clots ;2159;; 1.77477 ; 42.58114 
 AD-02-2263 ; Port de Fontargente ;2261; S3-4 ; 1.704936 ; 42.619469 
 AD-02-2387 ; Collada del Cap dels Clots ;2387; R2 ; 1.638179 ; 42.553127 
 AD-02-2409 ; Collet de les Solanelles ;2409; S2-3 ; 1.630578 ; 42.560964 
 AD-02-2420 ; Collada de la Caraup ;2420;; 1.661042 ; 42.604582 
 AD-02-2423 ; La Portella ;2426; R1 ; 1.6305 ; 42.552898 
 AD-02-2434 ; Collada dels Estanys ;2434; S ; 1.592103 ; 42.587597 
 AD-02-2442 ; Collada de Juclar ;2443;; 1.730194 ; 42.614611 
 AD-02-2458 ; Collada del Clot Sord ;2458;; 1.653168 ; 42.60174 
 AD-02-2473 ; Collet de la Costa del Bony Roig ;2473; S ; 1.622606 ; 42.595566 
 AD-02-2482 ; Collada de les Soronelles ;2482; R1 ; 1.65133 ; 42.54792 
 AD-02-2535 ; Collet d’Ortafà ;2535; R1-2(S) ; 1.712164 ; 42.561016 
 AD-02-2539 ; Coll d’Arenes ;2539; S ; 1.575164 ; 42.59479 
 AD-02-2546 ; Col d'Albe ;2543; S ; 1.73597 ; 42.61525 
 AD-02-2551 ; Collet de la Comarqueta d’Inclès ;2551;; 1.623016 ; 42.602831 
 AD-02-2555 ; Coll d’Andorat ;2554;; 1.689372 ; 42.623689 
 AD-02-2561 ; Port de Soldeu ;2561; S2-3 ; 1.706094 ; 42.568993 
 AD-02-2564 ; Portella de Sicarou ;2563;; 1.72604 ; 42.59574 
 AD-02-2565 ; Pas de la Portanelle ;2565;; 1.65698 ; 42.621 
 AD-02-2565a ; Port Dret ;2565; S2-3 ; 1.700229 ; 42.574137 
 AD-02-2572 ; Pas de les Vaques ;2572; S2-3(S), S4(N) ; 1.701275 ; 42.580373 
 AD-02-2637 ; Collada de la Coma ;2637;; 1.616931 ; 42.607965 
 AD-02-2643 ; Port Vieux de Coume d’Ose ;2648;; 1.62039 ; 42.62648 
 AD-02-2645 ; Port de Ransol ;2649;; 1.65401 ; 42.62513 
 AD-02-2652 ; Coll de Coume d’Ose ;2652;; 1.63906 ; 42.62831 
 AD-02-2715 ; Coll de la Mina ;2715; S2-3-4 ; 1.606041 ; 42.620812 
 AD-02-2725 ; Porteille de Joubla ;2725; HS ; 1.73674 ; 42.6112 
 AD-02-2729 ; Collada de la Canal Fonda ;2729;; 1.59746 ; 42.611489 
 AD-02-2760 ; Pas de Coume d'Ose ;2765;; 1.64255 ; 42.62815 
 AD-02-2771 ; Porteille de la Cabanette ;2771; HS ; 1.73637 ; 42.58782 
 AD-03-1795 ; Collada de Baixalis ;1795; C.S.N°310 ; 1.547974 ; 42.527747 
 AD-03-2408 ; Port d’Envalira ;2408; C.G.N°2 ; 1.71953 ; 42.54011 
 AD-03-2441 ; Coll Maià ;2441; R2 ; 1.718309 ; 42.546354 
 AD-03-2448 ; Collada d’Enradort ;2448; R1 ; 1.66164 ; 42.53936 
 AD-03-2453 ; Collada de les Solanelles ;2453; R1 ; 1.66047 ; 42.545 
 AD-03-2462 ; Coll de Ribúls ;2469;; 1.680343 ; 42.494686 
 AD-03-2517 ; Port de Vallcivera ;2517; S3-4(E), S2(S) ; 1.66232 ; 42.488451 
 AD-03-2521 ; Portella Blanca d’Andorra ;2515; GR7 et 107, S3-4(E), S2(S) ; 1.725636 ; 42.504662 
 AD-03-2528 ; Coll Blanc ;2528; R1(N), R2-3-4(O) ; 1.720202 ; 42.527919 
 AD-03-2543 ; Coll de l'Illa ;2543; HS ; 1.662255 ; 42.49371 
 AD-03-2598 ; Collada Baixas ;2598;; 1.635979 ; 42.509996 
 AD-03-2646 ; Pas Alt de Ribús ;2642;; 1.673839 ; 42.49897 
 AD-03-2659 ; Portella dels Colells ;2659;; 1.695687 ; 42.505919 
 AD-03-2661 ; Collada d’Entinyola ;2661;; 1.642959 ; 42.524315 
 AD-03-2672 ; Portella d’Engaït ;2672; R1-2 S4-2(NO), 
S2-4(SE), GR7 ; 1.716318 ; 42.513972 
 AD-03-2676 ; Portella de Joan Antoni ;2676; S ; 1.709275 ; 42.511992 
 AD-03-2707 ; Collada de Montmalús ;2707;; 1.689566 ; 42.508141 
 AD-03-2737 ; Collades Baixes d’Emportona ;2737;; 1.654795 ; 42.521837 
 AD-03-2745 ; Collades de Gargantillar ;2745;; 1.65227 ; 42.505416 
