 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 GB-ENG-0142 ; Hydegate ;142; Minor road ; -2.32027 ; 51.68682 
 GB-ENG-0155 ; Kerry’s Gate ;155; Minor road ; -2.88605 ; 51.99538 
 GB-ENG-0187 ; Beacon Pass ;187; R ; -1.35183 ; 51.31605 
 GB-ENG-0190 ; Dogbury Gate ;190; A352 ; -2.48993 ; 50.84564 
 GB-ENG-0205 ; Coldfell Gate ;205; Minor road ; -3.45922 ; 54.47739 
 GB-ENG-0213 ; Dorsetshire Gap ;213; R ; -2.36553 ; 50.82711 
 GB-ENG-0216 ; Moor Gate ;216; Minor road ; -1.17195 ; 54.31791 
 GB-ENG-0217 ; Chadwick Nick ;217; Minor road ; -1.48181 ; 53.07505 
 GB-ENG-0219 ; Nick i'th' Hill ;219; Minor road ; -2.18673 ; 53.13605 
 GB-ENG-0227 ; Pass of Dunmail Raise ;227; A591 ; -3.03962 ; 54.494922 
 GB-ENG-0229 ; Scarth Nick ;229; Minor road ; -1.27456 ; 54.39325 
 GB-ENG-0239 ; Caw Gap ;239; Minor road ; -2.42824 ; 54.99588 
 GB-ENG-0245 ; Busy Gap ;245; HS ; -2.02542 ; 55.1778 
 GB-ENG-0257 ; St Kenelm’s Pass ;257; Minor road ; -2.08953 ; 52.42192 
 GB-ENG-0265 ; Kingscrag Gate ;265; R ; -2.32455 ; 55.03144 
 GB-ENG-0265a ; Mockham Down Gate ;265; A399 ; -3.90813 ; 51.11039 
 GB-ENG-0275 ; Wyche Pass ;275; B4218 - B4232 ; -2.33872 ; 52.09118 
 GB-ENG-0275a ; Blackmoor Gate ;275; A39/A399 ; -3.93699 ; 51.17189 
 GB-ENG-0283 ; Bwlch ;283; Minor Road ; -3.11813 ; 52.393098 
 GB-ENG-0293 ; Nick of Pendle ;293; Minor road ; -2.34822 ; 53.84263 
 GB-ENG-0303 ; Garfit Gap ;303; S ; -1.14513 ; 54.42365 
 GB-ENG-0305 ; Curbar Gap ;305; Minor road ; -1.60985 ; 53.26847 
 GB-ENG-0305a ; Trough Gate ;305; A6066 ; -2.1744 ; 53.68929 
 GB-ENG-0315 ; Whinlatter Pass ;315; B5292 ; -3.23111 ; 54.6095 
 GB-ENG-0315a ; Humbleton Swyre ;315; HS ; -2.23225 ; 55.54483 
 GB-ENG-0325 ; County Gate ;325; A739 ; -3.72884 ; 51.22405 
 GB-ENG-0325a ; Midway Nick ;325; HS ; -2.13953 ; 55.31338 
 GB-ENG-0335 ; Newlands Hause ;335; Minor road ; -3.24935 ; 54.54725 
 GB-ENG-0335a ; Bracken Hause ;335; S ; -3.04418 ; 54.47655 
 GB-ENG-0358 ; Honister Pass ;358; B5289 ; -3.19845 ; 54.51136 
 GB-ENG-0365 ; Hause Gate ;365; S ; -3.17019 ; 54.56223 
 GB-ENG-0377 ; Widow Hause ;377; HS ; -3.27158 ; 54.63042 
 GB-ENG-0385 ; Barrow Door ;385; S ; -3.20529 ; 54.58434 
 GB-ENG-0385a ; The Hause ;385; Minor road ; -2.89411 ; 54.60366 
 GB-ENG-0385b ; Whitelaw Nick ;385; S ; -2.23323 ; 55.52961 
 GB-ENG-0388 ; Wrynose Pass ;388; Minor road ; -3.11714 ; 54.41422 
 GB-ENG-0393 ; Hardknott Pass ;393; Minor road ; -3.18592 ; 54.40281 
 GB-ENG-0395 ; Hemsworthy Gate ;395; B3387 ; -3.77825 ; 50.57101 
 GB-ENG-0395a ; Long Doors ;395; R ; -3.16418 ; 54.6359 
 GB-ENG-0398 ; Boredale Hause ;398; HS ; -2.91327 ; 54.53308 
 GB-ENG-0416 ; Winnats Pass ;416; Minor road ; -1.81673 ; 53.33848 
 GB-ENG-0418 ; Redeswire ;418; A68 ; -2.47764 ; 55.35434 
 GB-ENG-0435 ; Stone Hause ;435; S ; -3.07656 ; 54.52014 
 GB-ENG-0439 ; Oldgate Nick ;439; Minor road ; -2.00205 ; 53.28383 
 GB-ENG-0446 ; Scarth Gap Pass ;446; S ; -3.25389 ; 54.50868 
 GB-ENG-0448 ; Garburn Pass ;448; R ; -2.87115 ; 54.43152 
 GB-ENG-0453 ; Kirkstone Pass ;453; A592 ; -2.92493 ; 54.46569 
 GB-ENG-0456 ; Blakehope Nick ;456; R ; -2.45412 ; 55.2782 
 GB-ENG-0475 ; Windy Gap ;475; R ; -2.54889 ; 54.71338 
 GB-ENG-0480 ; Stake Pass ;480; S2-3 (S) ; -3.13496 ; 54.46815 
 GB-ENG-0495 ; Saddle ;495; S ; -2.48405 ; 54.38518 
 GB-ENG-0505 ; Hause Mouth ;505; HS ; -2.54783 ; 54.72664 
 GB-ENG-0505a ; Randy’s Gap ;505; S ; -2.19414 ; 55.44551 
 GB-ENG-0512 ; Snake Pass ;512; A57 ; -1.86868 ; 53.43283 
 GB-ENG-0519 ; Cut Gate ;519; S ; -1.72536 ; 53.46462 
 GB-ENG-0519a ; Scandale Pass ;519; S ; -2.94618 ; 54.47748 
 GB-ENG-0525 ; Butter Tubs Pass ;525; Minor road ; -2.20483 ; 54.35496 
 GB-ENG-0547 ; Black Sail Pass ;547; S ; -3.24943 ; 54.49178 
 GB-ENG-0577 ; Gatescarth Pass ;577; S ; -2.81243 ; 54.47664 
 GB-ENG-0591 ; Grisedale Hause ;591; S3-4 ; -3.00679 ; 54.49621 
 GB-ENG-0595 ; Horse Head Pass ;595; R ; -2.17142 ; 54.19441 
 GB-ENG-0595a ; Threshthwaite Mouth ;595; S ; -2.88786 ; 54.48454 
 GB-ENG-0600 ; Coledale Hause ;600; S ; -3.25646 ; 54.58013 
 GB-ENG-0604 ; Saddle of Fells ;604; HS ; -2.45941 ; 54.23772 
 GB-ENG-0615 ; Swirl Hawse ;615; S ; -3.11328 ; 54.39717 
 GB-ENG-0625 ; Saddle Gate ;625; S ; -3.26763 ; 54.56093 
 GB-ENG-0625a ; The Saddle ;625; S ; -3.29452 ; 54.52924 
 GB-ENG-0631 ; Nan Bield Pass ;631; S ; -2.8468 ; 54.47864 
 GB-ENG-0649 ; Goat’s Hawse ;649; S ; -3.13143 ; 54.37452 
 GB-ENG-0677 ; Deepdale Hause ;677; S ; -2.98966 ; 54.50371 
 GB-ENG-0678 ; Levers Hawse ;678; S ; -3.12449 ; 54.38516 
 GB-ENG-0715 ; Straits of Riggindale ;715; S ; -2.86661 ; 54.50175 
 GB-ENG-0735 ; Lingmell Col ;735; S ; -3.21963 ; 54.46028 
 GB-ENG-0749 ; Sticks Pass ;749; S ; -3.01905 ; 54.55463 
 GB-ENG-0750 ; Wind Gap ;750; S ; -3.28581 ; 54.49417 
 GB-ENG-0756 ; Windy Gap ;756; S ; -3.21431 ; 54.48415 
