 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 AR-A-0935 ; Abra El Motor ;935; R1 ; -65.185026 ; -24.56742 
 AR-A-0955 ; Abra de Chalchanio ;955; R1 ; -65.175946 ; -24.496998 
 AR-A-1145 ; Abra Las Garrapatas ;1145; HS ; -65.263704 ; -24.561753 
 AR-A-1195 ; Abra de San Antonio ;1195; S ; -64.913339 ; -25.098505 
 AR-A-1225 ; Abra de la Trampa ;1225; HS ; -65.242974 ; -24.488549 
 AR-A-1385 ; Abra Santa Laura ;1385; RN 9 ; -65.307781 ; -24.499072 
 AR-A-1515 ; Abra Despensilla ;1515; R ; -65.351975 ; -24.585425 
 AR-A-1555 ; Abra de la Sierra ;1555; RN 9 ; -65.355689 ; -24.523746 
 AR-A-1625 ; Abra de Lesser ;1625; R ; -65.475972 ; -24.624353 
 AR-A-1955 ; Abra Baritú ;1955; HS ; -64.828701 ; -22.481863 
 AR-A-2105 ; Abra del Cajoncito ;2105; HS ; -65.149446 ; -25.633005 
 AR-A-2125 ; Abra del Talar ;2125; HS ; -65.279836 ; -25.802056 
 AR-A-2135 ; Abra del Agua Tibia ;2135; HS ; -64.880095 ; -22.614958 
 AR-A-2395 ; Abra de Sepultura ;2395; S ; -65.021449 ; -22.845702 
 AR-A-2585 ; Abra de Astilleros ;2585; HS ; -64.939546 ; -22.796652 
 AR-A-2645 ; Abra de Lampazar ;2645; HS ; -65.155134 ; -25.501596 
 AR-A-2665 ; Abra Colorada ;2665; HS ; -65.636237 ; -25.973183 
 AR-A-2695 ; Abra Real Quemado ;2695; S ; -64.901657 ; -22.879214 
 AR-A-2865 ; Abra Arroyo Huemul ;2865; HS ; -65.633771 ; -25.880728 
 AR-A-2865a ; Abra del Zorro ;2865; HS ; -65.750511 ; -25.095733 
 AR-A-2905 ; Abra Sepultura ;2905; S ; -64.971429 ; -22.223166 
 AR-A-3145 ; Abra Ciénaga Negra ;3145; HS ; -64.909835 ; -23.316318 
 AR-A-3225 ; Abra Grande ;3225; HS ; -65.672967 ; -24.690063 
 AR-A-3245 ; Abra de Los Guanacos ;3245; HS ; -65.867003 ; -25.24476 
