Code;Nom complet;Altitude;Accès;WGS84 Lon D;WGS84 Lat D
AT-2-0615;Drainbergsattel;615;L54;13.972210;46.569510
AT-2-0705;Kundesattel;705;S;14.586030;46.482340
AT-2-0730;Sankt Egydner Tor;730;S;14.097000;46.574639
AT-2-0770;Kleiner Loibl Pass;770;B91;14.268611;46.488056
AT-2-0817;Rupertitor;817;S;14.102222;46.564444
AT-2-0981;Gailbergsattel;981;B110;12.967194;46.718139
AT-2-0991;Kurniksattel;991;Str;14.541056;46.485722
AT-2-1068;Schaidasattel;1068;L108;14.467444;46.479167
AT-2-1073;Wurzenpass;1073;B109;13.751470;46.517720
AT-2-1074;Kreuzbergsattel;1074;B87;13.254889;46.708500
AT-2-1110;Windische Höhe;1110;L33;13.546944;46.636111
AT-2-1122a;Oreinzasattel;1122;R;14.206139;46.497944
AT-2-1122b;Schelesnigsattel;1122;R;14.633361;46.453306
AT-2-1140;Tor;1140;R;13.643056;46.614722
AT-2-1144;Hubertussattel;1056;R;14.601472;46.457639
AT-2-1148;Haberjoch;1148;R;12.956111;46.730278
AT-2-1166;Mele_niksattel;1166;S;14.462500;46.468056
AT-2-1169;Packsattel;1169;B70;14.978056;46.965278
AT-2-1169a;Petschniksattel;1169;Str;14.526417;46.490944
AT-2-1169b;Preverniksattel;1169;S;14.623056;46.506944
AT-2-1173;Bartolosattel;1173;R;13.551570;46.552270
AT-2-1175;Eselsattel;1175;S;14.281667;46.471111
AT-2-1178;Malowerschnigsattel;1178;;14.486389;46.462778
AT-2-1209;Iselsbergpass;1209;B107;12.858333;46.854444
AT-2-1215;Seebergsattel;1215;B82;14.527020;46.419090
AT-2-1227;Kristansattel;1227;R;14.545556;46.451944
AT-2-1227a;Simonhöhe;1227;L68A;14.166417;46.775944
AT-2-1234;Kohlstattsattel;1234;R;13.288220;46.649140
AT-2-1242;Hirssattel;1242;;14.476389;46.461667
AT-2-1285;Luschasattel;1285;L130;14.710083;46.508222
AT-2-1310;Durchspring;1310;R;13.251667;46.661944
AT-2-1312;Goßeck;1312;R;14.990480;46.692410
AT-2-1339;Paulitschsattel;1339;L132;14.585250;46.425210
AT-2-1340;Brettereck;1340;S;14.997040;46.683990
AT-2-1347;Koglereck;1347;B69;15.010278;46.668333
AT-2-1357a;Bischofeck;1357;L137;14.741570;46.928650
AT-2-1357b;Plöckenpass;1357;B110;12.945000;46.603550
AT-2-1360;Halbingsattel;1360;R;14.226556;46.501500
AT-2-1368;Loiblpass;1368;R1-2;14.266710;46.439170
AT-2-1376;Wrata;1376;R;14.395528;46.494917
AT-2-1392;Pischenzasattel;1392;S;14.364722;46.446944
AT-2-1399;Sattele;1399;R1;14.498528;46.991028
AT-2-1401;Pasterksattel;1401;S;14.534167;46.441111
AT-2-1411;Potoksattel;1411;S;14.444722;46.451944
AT-2-1427;Flattnitzer Höhe;1427;L63;14.037222;46.940556
AT-2-1432;Heiligengeistsattel;1432;S;14.653490;46.444880
AT-2-1438;Jepzasattel;1438;S;13.925280;46.517080
AT-2-1439a;Maria-Elend-Sattel;1439;S;14.080280;46.486830
AT-2-1439b;Pastirksattel;1439;;14.628610;46.439330
AT-2-1439c;Schultersattel;1428;R1;13.338170;46.563690
