 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 BE-WHT-0099 ; Col de la Croix Jubaru ;99; CV ; 3.40733 ; 50.65323 
 BE-WLG-0270 ; Pas van Wolfhaag ;270; N608 ; 6.00127 ; 50.75376 
 BE-WLX-0329 ; Pas Bayard ;329; N841/CV ; 5.52416 ; 50.31696 
 BE-WLX-0370 ; Col du Rideux ;370; CV ; 5.56577 ; 50.34013 
 BE-WLX-0464 ; Trou du Loup ;464; N807/CV ; 5.63062 ; 50.2967 
 BE-WLX-0468 ; Col de Lamormenil ;468; CV ; 5.63713 ; 50.24904 
 BE-WLX-0488 ; Col de l'Haussire ;488; CV ; 5.60646 ; 50.20639 
 BE-WNA-0198 ; Col de Suary ;198; CV ; 4.83037 ; 50.42431 
 BE-WNA-0205 ; Col du Marly ;205; CV ; 4.82905 ; 50.35472 
 BE-WNA-0225 ; Col de la Charlerie ;225; N954/N951 ; 4.82605 ; 50.39678 
 BE-WNA-0240 ; Col de Ronchinne ;240; CV ; 4.9114 ; 50.35257 
 LU-DI-0334 ; Col Lopert ;334; N15 ; 6.0614 ; 49.85221 
 LU-ME-0235 ; Hals ;235; R1-S1 Route à 100m ; 6.08217 ; 49.72583 
 LU-ME-0368 ; Col Schaarfesuebel ;368; CR101/CR125 ; 6.18389 ; 49.72554 
 LU-WI-0360 ; Sätelchen ;360; R1 ; 5.96594 ; 49.97064 
 NL-LI-0270 ; Pas van Wolfhaag ;270; N608 ; 6.00127 ; 50.75376 
 NL-OV-0019 ; Beerzerpoort ;19; CV ; 6.533834 ; 52.510206 
