 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 BO-C-1485 ; Abra Lanza Lanzar ;1485; F5 ; -64.716057 ; -18.081664 
 BO-C-1485a ; Abra de Chajhuiales ;1485; S ; -64.349742 ; -18.586658 
 BO-C-2675 ; Abra Khasa ;2675; R ; -65.404726 ; -17.860135 
 BO-C-4475 ; La Cumbre ;4475; F4 ; -66.822675 ; -17.662954 
 BO-H-1315 ; Abra Vallecitos ;1315; HS ; -63.816052 ; -19.893733 
 BO-H-1420 ; Abra Arcos ;1420; HS ; -64.223052 ; -20.301112 
 BO-H-1445 ; Abra Alto Rosas ;1445; R ; -64.236732 ; -21.016783 
 BO-H-2180 ; Abra Pascana ;2180; R ; -64.321411 ; -19.341495 
 BO-H-2185 ; Abra Yotala ;2185; R ; -64.317265 ; -19.637115 
 BO-H-2545 ; Abra Barvechos ;2545; R1 ; -64.313742 ; -19.585138 
 BO-H-2575 ; Abra Portezuelos ;2575; R1 ; -64.33046 ; -19.568744 
 BO-H-2815 ; Abra Thiu Khasa ;2815; Route ; -64.932143 ; -19.02592 
 BO-H-2855 ; Abra del Tigre ;2855; HS ; -64.431808 ; -19.029878 
 BO-H-2935 ; Abra Llorante ;2935; R1 ; -64.528273 ; -19.972898 
 BO-H-2985 ; Abra Nuque ;2985; R ; -64.97755 ; -20.899698 
 BO-H-3265 ; Abra Tres Caminos ;3265; S ; -64.543434 ; -19.958763 
 BO-L-1395 ; Abra Llami Llami ;1395; HS ; -68.549663 ; -14.851643 
 BO-L-4205 ; Abra Chacorosi ;4205; R1 ; -68.090501 ; -16.7933 
 BO-L-4355 ; Abra Huayllani ;4355; HS ; -69.107812 ; -17.385199 
 BO-L-4395 ; Portezuelo de Achuta ;4395; HS ; -69.212444 ; -17.985839 
 BO-L-4425 ; Abra Coroma ;4425; S ; -69.119424 ; -17.379721 
 BO-L-4425a ; Abra Camino Tolacollo ;4425; F43 ; -69.540657 ; -17.20372 
 BO-L-4525 ; Abra Pacuani ;4525; R1 ; -67.853562 ; -16.569534 
 BO-L-4765 ; Abra Zongo ;4765; R1 ; -68.129293 ; -16.288051 
 BO-L-4795 ; Abra Taquesi ;4795; HS ; -67.875046 ; -16.46475 
 BO-L-4840 ; Abra de Pelechuco ;4840; R1 ; -69.181355 ; -14.803135 
 BO-L-4905 ; Abra Lechasani ;4905; HS ; -68.590287 ; -15.687485 
 BO-L-5045 ; Abra Calzada ;5045; S ; -68.45838 ; -15.919322 
 BO-L-5255 ; Abra Apacheta ;5255; HS ; -68.295584 ; -16.070377 
