 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 CL-AI-0445 ; Paso Ingeniero Ibáñez Pallavicini ;445; X-65 CV  R1 ; -71.726734 ; -46.27528 
 CL-AI-0645 ; Paso Roballos ;645; X-83 CV R1 ; -71.853772 ; -47.157633 
 CL-AI-0690 ; Portezuelo de la Divisoria ;690; R ; -72.815869 ; -48.960074 
 CL-AI-0735 ; Paso Triana ;735; X-595 R1 ; -71.734185 ; -45.582455 
 CL-AI-0735a ; Portezuelo Lago Brown ;735; HS ; -72.26876 ; -47.416643 
 CL-AI-0790 ; Paso Coihaique ;790; 243-CH CV R1 ; -71.555605 ; -45.522237 
 CL-AI-0805 ; Portezuelo Murta ;805; HS ; -72.855898 ; -46.090322 
 CL-AI-0815 ; Portezuelo Arroyo San Lorenzo ;815; R ; -72.317031 ; -47.481052 
 CL-AI-0835 ; Portezuelo del Tambo ;835; S ; -72.988209 ; -48.991242 
 CL-AI-0875 ; Portezuelo Ríos Tranquilo y Oro ;875; S ; -72.342717 ; -47.458095 
 CL-AI-0905 ; Portezuelo Río Bravo Lago Mogote ;905; HS ; -72.473416 ; -47.845317 
 CL-AI-0915 ; Paso Río Frías-Appeleg ;915; X-25 R1 ; -71.099258 ; -44.550932 
 CL-AI-1105 ; Portezuelo Cerro Catedral ;1105; HS ; -71.871668 ; -44.953271 
 CL-AI-1105a ; Portezuelo Ibáñez ;1105; Ruta 7 ; -72.03901 ; -46.070694 
 CL-AI-1235 ; Portezuelo de Los Contrabandistas ;1235; HS ; -71.807985 ; -44.399759 
 CL-AI-1295 ; Paso Las Golondrinas ;1295; HS ; -71.860377 ; -44.445426 
 CL-AI-1385 ; Portezuelo Bajo ;1385; HS ; -72.150242 ; -44.046027 
 CL-AI-1385a ; Paso Cañadón de los Toros ;1385; HS ; -73.010425 ; -49.039254 
 CL-AI-1455 ; Portezuelo Peñón ;1455; HS ; -72.134249 ; -46.038358 
 CL-AI-1575 ; Portezuelo Negro ;1575; HS ; -72.026469 ; -44.465109 
 CL-AI-1665 ; Portezuelo Cumbre Negra ;1665; HS ; -71.263402 ; -44.805226 
 CL-AI-1755 ; Paso Mariano Moreno ;1755; HS ; -73.417468 ; -49.218243 
 CL-AI-1965 ; Paso del Corredor ;1965; HS ; -72.348483 ; -47.542095 
 CL-AI-2235 ; Brecha de la Cornisa ;2235; HS ; -72.348505 ; -47.555586 
 CL-AN-0875 ; Portezuelo del Difunto ;875; Ruta 5 ; -70.368921 ; -25.743271 
 CL-AN-0925 ; Portezuelo del Farol ;925; B-400 ; -70.290916 ; -23.485749 
 CL-AN-1335 ; Portezuelo Rosario ;1335; Route ; -70.203446 ; -25.391782 
 CL-AN-1465 ; Portezuelo del Pingo ;1465; HS ; -70.225562 ; -25.627522 
 CL-AN-1665 ; Portezuelo de las Caretas ;1665; R1 ; -70.18726 ; -25.324168 
