 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 ES-A-0018 ; El Port ;18; CV-715 ; -0.100865 ; 38.868133 
 ES-A-0093 ; Portichuelo ;89; N-338 ; -0.572387 ; 38.30074 
 ES-A-0093a ; Collado del Serrano ;93; R ; -0.886773 ; 38.133772 
 ES-A-0117 ; Collado de la Zorra ;117; HS ; -0.885729 ; 38.036073 
 ES-A-0135 ; Coll del Mascarat ;135; N-332 (tunnel) ; 0.006753 ; 38.63813 
 ES-A-0135a ; Collado ;135; CL ; 0.047517 ; 38.806927 
 ES-A-0168 ; Collado del Cristo ;168;; -0.965875 ; 38.01266 
 ES-A-0185 ; El Coll ;185; CV-717 ; -0.170359 ; 38.86083 
 ES-A-0194 ; Puerto de Almagro ;194; R ; -0.942537 ; 38.016309 
 ES-A-0198 ; Port de Sagra ;196; CV-715 ; -0.077771 ; 38.82398 
 ES-A-0200 ; Puerto de Chumilla ;200; R ; -0.927132 ; 38.0173 
 ES-A-0205 ; Coll de Pous ;205; S ; 0.083225 ; 38.811932 
 ES-A-0240 ; Puerto de Rebate ;242; A-354 ; -0.88026 ; 37.955997 
 ES-A-0245 ; Collado del Lobo ;245;; -0.91661 ; 38.127232 
 ES-A-0250 ; Collado de Garroferal ;248; CV-777 ; -0.421152 ; 38.473479 
 ES-A-0255 ; Collado de l'Hermano ;255; R ; -0.254695 ; 38.58496 
 ES-A-0256 ; El Collao ;256; CL ; -0.129248 ; 38.614695 
 ES-A-0257 ; Paso de las Yeguas ;257; R ; -0.883808 ; 38.246483 
 ES-A-0259 ; Port de Parcent ;259; CV-715 ; -0.062435 ; 38.765531 
 ES-A-0265 ; El Collado ;265; CV-750 ; 0.026019 ; 38.727172 
 ES-A-0279 ; Pas de Benimeli ;279;; -0.034529 ; 38.828024 
 ES-A-0288 ; Puerto del Portichol ;288; N-330 ; -0.682106 ; 38.361189 
 ES-A-0288a ; Port de Murla ;288;; -0.072403 ; 38.772223 
 ES-A-0290a ; El Collado ;290;; 0.034995 ; 38.734833 
 ES-A-0315 ; Colladet de Fontilles ;315; HS ; -0.081366 ; 38.77603 
 ES-A-0351 ; Coll de Bernat ;351; HS ; -0.526184 ; 38.496642 
 ES-A-0352 ; Coll de Novelda ;352; R ; -0.807535 ; 38.406638 
 ES-A-0355 ; Paso del Gato ;355;; -0.965972 ; 38.105839 
 ES-A-0357 ; Puerto de la Baronesa ;357;; -1.006078 ; 38.093821 
 ES-A-0365 ; Collado del Ventorrillo ;365; CV-845 ; -0.835986 ; 38.31122 
 ES-A-0375 ; Collado de la Serreta ;375; R1 ; -0.747358 ; 38.42469 
 ES-A-0375a ; el Collado ;375; HS ; -0.652707 ; 38.384425 
 ES-A-0388 ; Portell de Beniarbeig ;388;; -0.027163 ; 38.834252 
 ES-A-0392 ; Collado del Barranc de Ramón ;392; R (N) ; -0.036057 ; 38.830613 
 ES-A-0399 ; Coll del Chillón ;399;; -0.809996 ; 38.348286 
 ES-A-0405 ; Collado de la Plana ;405;; -0.891234 ; 38.126238 
 ES-A-0405a ; Collado de Bernat ;405; R ; -0.515804 ; 38.500756 
 ES-A-0408 ; Coll del Fatxuc ;408; HS ; -0.006559 ; 38.644047 
 ES-A-0422 ; La Portella Ampla ;422;; -0.016256 ; 38.839189 
 ES-A-0425 ; Collado d'Albentos ;425; R ; -0.875616 ; 38.304483 
 ES-A-0427 ; Collado del Rincón ;427;; -0.8383 ; 38.32149 
 ES-A-0435 ; Collado de Terol ;435; R(N) ; -0.403398 ; 38.494882 
 ES-A-0436 ; Collado de Pastoret ;436; C.L. ; -0.766906 ; 38.42965 
 ES-A-0439 ; Colladet del Ríu ;439; CL ; -0.298967 ; 38.854498 
 ES-A-0440 ; Collado dels Bous ;440;; -0.736267 ; 38.409401 
 ES-A-0442 ; Coll de Carreres ;442; R ; -0.170312 ; 38.583789 
 ES-A-0456 ; Collado de los Canicios ;456; R ; -0.885028 ; 38.374831 
 ES-A-0462 ; Collado de la Penya Alta ;462;; -0.29231 ; 38.547685 
 ES-A-0466 ; Coll de Beties ;466;; -0.825219 ; 38.405788 
 ES-A-0466a ; Collado dels Bous ;466;; -0.766584 ; 38.421165 
 ES-A-0474 ; El Colladet ;474; HS ; -0.966703 ; 38.290842 
 ES-A-0492 ; Collado de la Algüeda ;492; AP-210 ; -0.919801 ; 38.255697 
 ES-A-0494 ; Collado de Novelda ;494;; -0.757892 ; 38.437029 
 ES-A-0495 ; Coll del Almendro ;495; R ; -0.850359 ; 38.401413 
 ES-A-0510 ; Collado de la Peña Blanca ;510;; -1.024206 ; 38.090109 
 ES-A-0511 ; Collado de Rumbo ;511; R ; -0.947007 ; 38.291951 
 ES-A-0514 ; Puerto López ;514; R ; -0.83901 ; 38.547628 
 ES-A-0514a ; Collado del Viento ;514;; -0.33755 ; 38.57432 
 ES-A-0519 ; Collado de l'Almorxoneta ;519; R ; -0.779091 ; 38.501989 
 ES-A-0521 ; Collado de la Castellana ;521; R ; -0.401596 ; 38.5068 
 ES-A-0522 ; Collado de Malena ;522; R1 ; -0.90286 ; 38.604926 
 ES-A-0523 ; Collado de las Balsicas ;523;; -1.017345 ; 38.09212 
 ES-A-0529 ; Collado de Azorín ;529; A-402 ; -0.907932 ; 38.469676 
 ES-A-0531 ; Coll Vell de la Canalosa ;531; R ; -0.95159 ; 38.310589 
 ES-A-0540 ; Coll de Rates ;628; CV-715 ; -0.059739 ; 38.723615 
 ES-A-0541 ; Collado Port ;541; R ; -0.337727 ; 38.792338 
 ES-A-0542 ; Collado de la Alcornia ;542;; -0.554623 ; 38.505628 
 ES-A-0543 ; Pas de Mançanera ;543; R ; -0.124956 ; 38.797052 
 ES-A-0552 ; Collado de Villena ;552; R ; -0.883341 ; 38.547771 
 ES-A-0554 ; Collado de Terlinques ;554; R ; -0.897335 ; 38.593563 
 ES-A-0562 ; Collado Romet ;562; R ; -0.910907 ; 38.366555 
 ES-A-0570 ; Collado dels Llops ;570; R ; -0.771255 ; 38.523155 
 ES-A-0571 ; Coll de Benissili ;571; CV-700 ; -0.291627 ; 38.812246 
 ES-A-0571a ; Collado de la Serrata ;571;; -0.925467 ; 38.585506 
 ES-A-0576 ; Coll de la Creu ;576; CV-752 ; -0.091454 ; 38.694228 
 ES-A-0581 ; Collado Victoriano ;581; R ; -0.899267 ; 38.424647 
 ES-A-0581a ; Collado Viejo de la Canalosa ;581;; -0.95108 ; 38.285354 
 ES-A-0587 ; Coll de Sant Juri ;587; R ; -0.870956 ; 38.273022 
 ES-A-0587a ; Coll de Bariet ;587; S ; -0.151189 ; 38.675069 
 ES-A-0589 ; el Colladet ;589; HS ; -0.903575 ; 38.33771 
 ES-A-0593 ; Colladet d'Oreca ;588; R ; -0.062726 ; 38.656319 
 ES-A-0595 ; Coll del Raconet ;595; CV-705 ; -0.380356 ; 38.835758 
 ES-A-0595a ; Sella del Cau ;595; R (SO) ; -0.001984 ; 38.700525 
 ES-A-0595b ; Portell de Lopes ;595; HS ; -0.231758 ; 38.602995 
 ES-A-0600 ; Port d'Albaida ;604; N-340 ; -0.461861 ; 38.808096 
 ES-A-0605 ; Alto de Canillas ;605; R (S) ; -1.07189 ; 38.3453 
 ES-A-0608 ; El Collado ;608;; -0.131485 ; 38.69648 
 ES-A-0609 ; Puerto de la Harina ;609;; -0.989991 ; 38.579117 
 ES-A-0616 ; Collado del Merquizo ;616;; -0.978085 ; 38.612738 
 ES-A-0623 ; Coll de Godella ;623;; -0.374459 ; 38.839499 
 ES-A-0625 ; Collado de la Horna ;625; CV-827 ; -0.620248 ; 38.485753 
 ES-A-0626 ; Collado Blant ;626; CV-700 ; -0.302658 ; 38.795185 
 ES-A-0628 ; Collado de Abril ;633; CV-840 ; -0.97015 ; 38.345168 
 ES-A-0628c ; Collado del Campanar ;628;; -0.856298 ; 38.273539 
 ES-A-0633 ; Collet d'en Bossa ;633; S ; -0.116473 ; 38.699308 
