 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
FR-01-0255; Le Truc ;238; S  (NO) ;5.471097;45.725955
FR-01-0316;Golet;360;HS;5.670315;45.844988
FR-01-0318; La Morte ;365;R;5.390886;46.021395
FR-01-0341; Le Golet ;356;R;5.607272;45.732595
FR-01-0430; Golet Chardon ;371;R;5.655963;45.86968
FR-01-0441; Col de Plain Champ ;391;D52b;5.388261;46.341181
FR-01-0485; Gollet de la Chicle ;384;;5.497916;45.922571
FR-01-0486; Crêt du Jour ;390; R(N)  S(S) ;5.465087;46.069235
FR-01-0520; Collet de Chavannes ;400;D3;5.443729;46.264798
FR-01-0538; Golet de la Vuivra ;400;CV;5.657265;46.289283
FR-01-0574; Golet de la Fin ;401;CV;5.654663;45.893925
FR-01-0602a; Golet de Lent ;420;;5.428673;45.92211
FR-01-0624;Sanquaise;442; R  (S) ;5.49548;45.829787
FR-01-0662; Golet Cottin ;474;CV;5.649016;45.886296
FR-01-0690; Gollet du Pontet ;454;S;5.521855;46.25822
FR-01-0765; Gollet de la Claz ;500;S;5.516304;45.889401
FR-01-0804; Golet de la Batiaoure ;507;R1;5.459751;45.941767
FR-01-0817; Golet Ravaret ;512; D  57a ;5.587971;46.026477
FR-01-0843; Pied du Geai ;563;D34;5.549053;46.007589
FR-01-0861; Golet Genon ;602;R;5.491079;45.906175
FR-01-0914a; Golet du Four ;625;D30;5.730146;45.98146
FR-01-0925a; Golet Téteret ;646;RF;5.652052;46.046175
FR-01-0974; Passage de la Pierre Taillée ;654;D9;5.623187;45.967554
FR-01-0994; Trou de Petay ;680;R;5.645118;46.12832
FR-01-1018; La Croix de Corral ;686;R;5.631051;45.937384
FR-01-1021; Golet de Cuvillat ;700;D57a;5.636587;46.032561
FR-01-1096a; Golet Grand-Voie ;720;R1;5.739147;46.024072
FR-01-1110; Golet à la Millette ;740;R;5.637899;46.025031
FR-01-1122; Golet de l Epine ;743;;5.575658;45.816485
FR-01-1125; Golet Danoi ;743;R1;5.7361;46.021353
FR-01-1134; le Golet Marmier ;745;R1-2;5.622072;45.963952
FR-01-1150; Golet Bélier ;758;HS;5.743576;45.978238
FR-01-1170; Golet des Murs ;765;R1;5.834248;46.239178
FR-01-1174; Creux à la Neige ;770;S;5.637841;45.9788
FR-01-1360; Le Portail ;780;S;6.089128;46.398245
FR-02-0071; le Passage ;784;;3.338328;49.593874
FR-02-0097; le Pas de Sable ;793;;3.429925;49.513121
FR-02-0124; la Colle Baudé ;794;R;3.84437;49.903498
FR-02-0125; les Pas St-Martin ;810;CV;3.186671;49.364527
FR-02-0129; Les Collets ;835;;3.324515;49.554027
FR-02-0149; le Pas de Dame ;864;;3.289187;49.425177
FR-02-0153; le Passsage ;875;;3.078931;49.217039
FR-02-0168; Passe à Cailloux ;880;CV;4.120743;49.86945
FR-02-0184; le Pas Morel ;903;;3.373119;49.239728
FR-02-0189; la Passe Branlante ;914;CV;4.139648;49.920769
FR-02-0195; le Pas Bayard ;914;CV;4.099612;49.956785
FR-02-0218; Passe Dru ;925;;4.155549;49.975429
FR-04-0489; Col des Granons ;937;N100/D14;5.679962;43.864232
FR-04-0534; le Trécol ;940;R1;5.857669;43.903715
FR-04-0600; Col de Borne ;942;S;5.981479;44.404594
FR-04-0610; Le pas de la Combe ;950;R;5.836493;44.154173
FR-04-0660; Pas de Peynier ;955;S;5.882897;44.193013
FR-04-0666; Le Collet ;960;R;6.189187;44.035718
FR-04-0682; Pas de Saint-Pensier ;968;S;5.869679;44.192474
FR-04-0690; Pas de Laval ;970;CV;6.11087;43.868352
FR-04-0696; le Colet ;972;HS;6.035631;44.1842
FR-04-0729; Le Seuil ;979; D12  R1  (60m) ;6.020652;43.9802
FR-04-0799; Le Malpas ;979;D900b;6.268811;44.463925
FR-04-0808; Col des Chèvres ;980;R1-2;6.124238;44.100893
FR-04-0811; Col de Puimichel ;989;D12;6.047708;44.00781
FR-04-0815; Les Coulettes ;995;HS;6.753041;43.972077
FR-04-0821; Le Coulet ;996;R;6.336934;44.180735
FR-04-0918; La Coulette ;996;R;6.36506;44.022167
FR-04-0950; Col des Praux ;1010;RF1;6.239183;43.999806
FR-04-0953; les Portes ;1000;;6.277508;44.035076
FR-04-0977; le Pas de lAne ;990;;6.280429;44.031022
FR-04-1075a; La Coulette ;1005;;6.664465;43.988045
FR-04-1080; Pas des Portes ;1010;S1-2;5.836747;44.138148
FR-04-1095a; Le Pas dImbart ;1036;;6.403401;44.163223
FR-04-1108; La Colle ;1031;R;6.03072;44.217712
FR-04-1143; Pas des Vaycous ;1055;;5.760248;44.149879
FR-04-1185a; La Colle ;1056;S;6.273022;44.176549
FR-04-1199a; LAire des Chiens ;1070;S;6.19747;44.117489
FR-04-1226; Le Malpas ;1068;D3;6.090709;44.243984
FR-04-1235; La Collette ;1073;HS;6.3273;44.080642
FR-04-1315; La Porte ;1079;D607/D207/CV;6.364528;44.356829
FR-04-1355; Collet Pointu ;1122;S;6.112733;44.25623
FR-04-1368a; La Colle ;1096;HS;6.239911;43.907976
FR-04-1373; Pas de lEscayon ;1099;R1;6.375247;44.119603
FR-04-1380a; Pas des Trois Saut ;1112;;6.39628;44.092622
FR-04-1390c; Le Darau ;1127;S;6.193502;44.134844
FR-04-1421; Coulet de Vaux ;1144;;6.227879;44.276272
FR-04-1440; La Colle ;1130;S;6.448094;44.173202
FR-04-1500a; Pas de la Reyssole ;1145;;6.743142;44.506219
FR-04-1555; Le Col ;1146;R;6.60309;44.061131
FR-04-1670; Pas du Buis ;1151;;6.38378;44.110162
FR-04-1725a; La Couletta ;1175;S-GR;6.729625;44.18076
FR-04-1744; Coulet de St-Domnin ;1178;;6.60447;44.004093
FR-04-1800; Pas de lArête ;1317;HS;6.488809;44.248626
FR-04-1965; La Basse ;1360;;6.413999;44.398288
FR-04-1995; Pas du Roy ;1310;;6.728194;44.478822
FR-04-2205; Pas du Jas ;1320;;6.769586;44.459161
FR-04-2361; La Basse ;1350;HS;6.671142;44.305344
FR-04-2758a;Col;1350; R1  S2-4(E) ;6.753078;44.32875
FR-05-0734; Col de Valserres ;1410;D942A;6.124851;44.482465
FR-05-0782; Pas de Peysson ;1390;RF;5.76202;44.280708
FR-05-0798; Le Collet ;1430;D45;6.050127;44.487972
FR-05-0833; Col de Haut Forest ;1485;D210;6.199945;44.420908
FR-05-0900; Le Col ;1490;;6.19019;44.529496
FR-05-0905; Le Collet ;1498;CV;5.659405;44.477758
FR-05-0921; Col de la Plaine ;1590;CV;5.927081;44.563752
FR-05-1030; Le Pas ;123;S-GR;5.87248;44.421202
FR-05-1069; La Porte ;330;S;5.910213;44.405105
FR-05-1078; Pas de Fayolle ;824;;5.893704;44.411365
FR-05-1128; Pas de Roche-Courbe ;871;S-GR;5.879797;44.417845
FR-05-1215; Le Collet ;993;CV;5.847888;44.639142
FR-05-1245a; La Pousterle ;1077;;6.56483;44.609516
FR-05-1255; Le Collet ;1151;CV;6.641553;44.642547
FR-05-1630; Col de la Barre ;475;S;5.988146;44.590778
FR-05-1811; Col de la Manche ;570;S;5.921816;44.522483
FR-05-2055; Pas de lEscalier ;591;S1-2;6.141724;44.716589
FR-05-2201; Colletto di Cresta Nera ;611;HS/N;6.76573;44.97052
FR-05-2600a; Pas de Batailler ;649;S;6.895033;44.743502
FR-05-2695a; Col du Petit Galibier ;649; S3-4(O)  HS4(N) ;6.412871;45.063541
FR-06-0227; La Baïsse ;650;D4/D3;7.011933;43.643064
FR-06-0285; Le Collet ;661;CV;7.01274;43.677118
FR-06-0300; Col de Dreiblanca ;665;R1-2;7.21851;43.803794
FR-06-0300a; Col de Liesse ;691; S(E)  Interdit ;7.221634;43.807776
FR-06-0320; Col Férier ;697;CV;7.224805;43.813874
FR-06-0335; Collet du Couvent ;703;;7.223827;43.811123
FR-06-0336; Col des Dauphins ;710;D1114;7.223948;43.803686
FR-06-0341; La Porti Solo ;713;CV;7.151429;43.839928
FR-06-0377a; La Colla ;714;S;7.516013;43.934492
FR-06-0390; Col de Galante ;728;CV;7.228732;43.815128
FR-06-0430; Passo della Masca ;731;HS;7.266683;43.933266
FR-06-0432; La Colle ;737;S2;7.377617;43.778723
FR-06-0478a; La Turbie ;738;D2564;7.400751;43.746063
FR-06-0491; Pas de Leuse ;733;S;7.289245;43.942085
FR-06-0506; Colle del Castel ;740; CV  (Chemin  de  Gayan) ;7.401344;43.761701
FR-06-0524a; La Colle ;740;D26;7.151292;43.946813
FR-06-0555a; Col dErc ;752;D2566;7.453977;43.854914
FR-06-0560; Passo Masca ;759;S;7.525236;43.913677
FR-06-0590; Collet du Passeron ;770;D27;7.173086;43.856212
FR-06-0598a;Colette;773; R  S(sur  80m) ;7.258389;43.81449
FR-06-0675; Collet Assou ;800;D5;6.841515;43.693237
FR-06-0675a; Col du Dragon ;804; HS  (S  à  30m) ;7.232904;43.867875
FR-06-0774; Col di Rugnatte ;814;S;7.461473;43.84503
FR-06-0794a; Colletto delle Traverse ;822;S;7.321646;43.88005
FR-06-0816; Col du Roi ;815; R1  S1-2 ;7.206308;43.882277
FR-06-0850; Le Coulet ;825;CV;6.885985;43.909216
FR-06-0863; Colletta di Peude ;845; R  (N) ;7.496946;43.97425
FR-06-0980b; La Baïsse ;833;;7.052668;43.73867
FR-06-0995; Collet de Jacques ;838;S;6.783452;43.87543
FR-06-1021a; Collet de Boièra ;860;;7.27652;43.906479
FR-06-1030a; le Pas ;845;S;6.815511;43.889549
FR-06-1031; Collet dHuesti ;851; HS  (S  à  40m) ;7.217153;43.895519
FR-06-1046; Collet de Pater Noster ;856;R;7.06405;43.775069
FR-06-1050; Collet de la Claye ;863;;6.816494;43.887885
FR-06-1109; Bouche de Lanes ;865;;7.491786;43.850612
FR-06-1180; Col de Luc ;866;;7.113485;44.101522
FR-06-1255; Collet de Giraud ;869;R1-2(N);7.045707;43.968617
FR-06-1291; Le Collet ;875;HS;7.257292;44.078398
FR-06-1315; Collet de Péron ;884;;7.293458;43.903497
FR-06-1348; Col Villa Souberre ;886;R1(SO);7.06036;43.990586
FR-06-1387a; Colletto dell Olivo ;887;S;6.900457;44.095272
FR-06-1425; Baissa dei Fornès ;903;HS;7.234175;43.98262
FR-06-1459;Colletas;905;CV;6.906158;44.089062
FR-06-1470b; La Porte ;908;S-GR;6.742427;44.179393
FR-06-1604a; Coletto Pelau ;915;HS;7.045613;44.01998
FR-06-1625; Colletto dei Manzi ;920;HS;7.651269;44.03123
FR-06-1636; Collet du Loup ;926;R1;7.66878;44.041036
FR-06-1694a; Collet Mantia ;936;R-GR;7.045939;44.16789
FR-06-1705a; Collet Cotignol ;1060; Interdit  (PNM) ;7.266449;44.08709
FR-06-1725a; La Couletta ;955;S-GR;6.729625;44.18076
FR-06-1760; Collet de Sen ;965;GR;6.825048;44.141587
FR-06-1765a; La Coleta di Valabres ;968;HS;7.076368;44.142601
FR-06-1775; Col de la Carinette ;969; R-GR52A  Interdit ;7.383931;43.970169
FR-06-1891; Los Col de Baudins ;970;HS;7.004752;44.142671
FR-06-2140; Los Portas ;975; HS  Interdit  PNM ;7.019176;44.162498
FR-06-2198; Collet Mattet ;980;;6.985985;44.177296
FR-06-2435; Col de lAspre ;989; GR  Interdit ;6.810924;44.17474
FR-06-2476; Coletto Garbiera ;987; Interdit  (PNM) ;7.407078;44.093346
FR-06-2515a; Collet Garouns ;991; Interdit  (PNM) ;7.220675;44.126831
FR-06-2580a; Colle Leccia ;991;;7.279105;44.138651
FR-06-2609; Pas du Bœuf ;1004;S;7.056;44.22971
FR-06-2678;Bassa;1006; Interdit  (PNM) ;7.241359;44.164952
FR-07-0180; Baisse de Chabaud ;1008;;4.35405;44.43498
FR-07-0229; Col des Avelats ;1015;D901/D104;4.167381;44.350606
FR-07-0231; Col de la Grange ;1030;D294;4.350825;44.522431
