 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 IS-1-0050 ; Selháls ;50; 43 Grindavikurvegur ; -22.42311 ; 63.86925 
 IS-1-0119 ; Siglubergsháls ;119;427; -22.33505 ; 63.86365 
 IS-1-0170 ; Vatnsskarð ;170;42; -21.94637 ; 63.9668 
 IS-1-0470 ; Grindarskörð ;470; HS ; -21.74552 ; 63.97578 
 IS-1-0482 ; Kerlingarskarð ;482; HS ; -21.75254 ; 63.96819 
 IS-2-0110 ; Skammaskarð ;110; R1 ; -21.63299 ; 64.17128 
 IS-2-0125 ; Grunnavatnskarð ;125; HS ; -21.85769 ; 64.06944 
 IS-2-0135 ; Valahnúkaskarð ;135; HS ; -21.83702 ; 64.01696 
 IS-2-0468 ; Svínaskarð ;468; R ; -21.49919 ; 64.2412 
 IS-3-0026 ; Hestskarð ;26; HS ; -21.64781 ; 64.58687 
 IS-3-0040 ; Hallarskarð ;40; HS ; -21.55247 ; 64.71278 
 IS-3-0133 ; Hestsháls ;133; R1 Dragavegur ; -21.6265 ; 64.56097 
 IS-3-0150 ; Tíðaskarð ;150; HS ; -21.36948 ; 64.6847 
 IS-3-0159 ; Hólsskarð ;159; HS ; -21.80965 ; 64.98521 
 IS-3-0166 ; Miðskarð ;166; HS ; -21.37945 ; 64.68336 
 IS-3-0170 ; Svínaskarð ;170; R1 ; -22.23517 ; 64.94729 
 IS-3-0190 ; Hamraskarð ;190; HS ; -21.29762 ; 64.76995 
 IS-3-0203 ; Brekkuskarð ;203; HS ; -21.53166 ; 64.73566 
 IS-3-0210 ; Skálarskarð ;210; HS ; -21.71938 ; 64.40737 
 IS-3-0210a ; Tindaskarð ;210; HS ; -22.61515 ; 64.97241 
 IS-3-0210b ; Tröllaháls ;210; HS ; -23.05024 ; 64.90492 
 IS-3-0250 ; Kýrskarð ;250; R1 F570 ; -23.67857 ; 64.78087 
 IS-3-0250a ; Skarð ;250; HS ; -21.36171 ; 64.7987 
 IS-3-0266 ; Bæjarskarð ;266; HS ; -21.64633 ; 64.75974 
 IS-3-0270 ; Strákaskarð ;270; HS ; -23.16002 ; 64.99767 
 IS-3-0310 ; Kerlingarskarð ;310; R1 ; -22.84597 ; 64.94044 
 IS-3-0339 ; Egilsskarð ;339; HS ; -22.14583 ; 64.77643 
 IS-3-0350 ; Höfðaskarð ;350; HS ; -23.45586 ; 64.93079 
 IS-3-0365 ; Haukadalsskarð ;365; 586 Haukadalsvegur ; -21.23448 ; 65.06346 
 IS-3-0390 ; Náttmálaskarð ;390; HS ; -22.10963 ; 64.82391 
 IS-3-0390a ; Sópandaskarð ;390; HS ; -21.75978 ; 64.89067 
 IS-3-0410 ; Svínaskarð ;410; HS ; -21.21936 ; 65.03706 
 IS-3-0435 ; Grimsskarð ;435; HS ; -22.8131 ; 64.94534 
 IS-3-0450 ; Sléttaskarð ;450; HS ; -22.00979 ; 64.78486 
 IS-3-0452 ; Svínaskarð ;452; HS ; -22.94352 ; 66.34049 
 IS-3-0470 ; Kambsskarð ;470; HS ; -23.57364 ; 64.83902 
 IS-3-0470a ; Korraskarð ;470; HS ; -23.5035 ; 64.8784 
 IS-3-0470b ; Selskarð ;470; HS ; -22.12079 ; 64.8096 
 IS-3-0490 ; Skarð ;490; HS ; -21.79985 ; 64.45403 
 IS-3-0523 ; Fossaskarð ;523; HS ; -21.39681 ; 64.89349 
 IS-3-0537 ; Álftaskörð ;537; HS ; -21.93491 ; 64.77329 
 IS-3-0539 ; Bjarnaskarð ;539; HS ; -23.39493 ; 64.91903 
 IS-3-0680 ; Arnardalsskarð ;680; HS ; -23.25171 ; 64.87752 
 IS-3-0690 ; Skeggaxlarskarð ;690; HS ; -21.98271 ; 65.28103 
 IS-3-0710 ; Háskaskarð ;710; HS ; -22.632277 ; 64.92185 
 IS-3-0713 ; Egilsskarð ;713; HS ; -23.29225 ; 64.88619 
 IS-3-0790 ; Slitvindastaðaskarð ;790; HS ; -23.08246 ; 64.88032 
 IS-4-0048 ; Kjósarháls ;48; HS ; -22.52756 ; 66.23078 
 IS-4-0130 ; Hvalhamarsháls ;130; HS ; -21.59932 ; 66.03055 
 IS-4-0145 ; Ódrjúgsháls ;145; HS ; -22.35409 ; 65.5505 
 IS-4-0150 ; Álftaskarð ;150; HS ; -21.730655 ; 65.648183 
 IS-4-0210 ; Sigluvíkurháls ;210; HS ; -21.99214 ; 66.2513 
 IS-4-0250 ; Naustvíkurskarð ;250; HS ; -21.51245 ; 65.98714 
 IS-4-0270 ; Brekkuskarð ;270; HS ; -21.66882 ; 66.02984 
 IS-4-0274 ; Hesteyrarskarð ;274; HS ; -22.92944 ; 66.35777 
 IS-4-0275 ; Hænuvíkurskarð ;275; HS ; -24.24841 ; 65.5882 
 IS-4-0290 ; Göngumannaskörð ;290; HS ; -21.53664 ; 65.98303 
 IS-4-0290a ; Rytaskörð ;290; HS ; -23.17559 ; 66.33985 
 IS-4-0290b ; Heiðarskarð ;290; HS ; -22.02195 ; 66.20951 
 IS-4-0291 ; Atlaskarð ;291; S ; -22.55812 ; 66.42242 
 IS-4-0304 ; Almenningaskarð ;304; HS ; -22.39648 ; 66.43423 
 IS-4-0310 ; Miðaftasskarð ;310; HS ; -21.91803 ; 66.17939 
 IS-4-0324 ; Brúðgumaskarð ;324; HS ; -24.25636 ; 65.53381 
 IS-4-0329 ; Breiðuskörð ;329; HS ; -22.84274 ; 66.45092 
 IS-4-0330 ; Heiðarskarð ;330; R1 Skálavikvegur ; -23.35644 ; 66.17271 
 IS-4-0330a ; Kýrskarð ;330; HS ; -22.42085 ; 66.4102 
 IS-4-0332 ; Drangaháls ;332; HS ; -21.79842 ; 66.16991 
 IS-4-0333 ; Heimriskörð ;333; HS ; -22.66461 ; 65.90674 
 IS-4-0350 ; Lambahlíðarskarð ;350; R1 ; -24.34773 ; 65.51261 
 IS-4-0355 ; Grámýrarskarð ;355; HS ; -22.37979 ; 65.76572 
 IS-4-0365 ; Göngumannaskörð ;365; HS ; -23.74193 ; 65.46684 
 IS-4-0368 ; Göngumannaskörð ;368; HS ; -22.26416 ; 66.32375 
 IS-4-0370 ; Hestskarð ;370; HS ; -22.41943 ; 66.42261 
 IS-4-0370a ; Lækjarskarð ;370; HS ; -23.28559 ; 65.5339 
 IS-4-0371 ; Almenningaskarð ;371; HS ; -22.754147 ; 66.431722 
 IS-4-0381 ; BergÞóruskarð ;381; HS ; -22.7712 ; 66.42611 
 IS-4-0382 ; Útburðarskarð ;382; HS ; -22.46505 ; 65.52725 
 IS-4-0388 ; Nesdalsskarð ;388; HS ; -23.728112 ; 66.018722 
 IS-4-0390 ; Eyrarháls ;390; HS ; -21.60238 ; 66.01841 
 IS-4-0390a ; Gufudalsháls ;390; HS ; -22.44796 ; 65.57088 
 IS-4-0390b ; Nónhyrnuskarð ;390; HS ; -21.554976 ; 65.981186 
 IS-4-0393 ; Svartaskarð ;393; HS ; -22.20739 ; 66.24704 
 IS-4-0398 ; Þorleifsskarð ;398; HS ; -22.80892 ; 66.42513 
 IS-4-0405 ; Festarskörð ;405; HS ; -22.56594 ; 66.45704 
 IS-4-0408 ; Hrossagötuskarð ;408; HS ; -23.85392 ; 65.49957 
 IS-4-0409 ; Skandadalsskarð ;409; HS ; -24.06619 ; 65.75336 
 IS-4-0410 ; Litluskörð ;410; HS ; -22.55738 ; 66.45187 
 IS-4-0412 ; Kleifaheiðarskarð ;412; R1 Barðastrandarvegur ; -23.72192 ; 65.51756 
 IS-4-0415 ; Tröllaskarð ;415; HS ; -22.90308 ; 66.40351 
 IS-4-0417 ; Fljótsskarð ;417; HS ; -22.80954 ; 66.38889 
 IS-4-0424 ; Töfluskarð ;424; HS ; -23.65042 ; 65.64317 
 IS-4-0425 ; Dagmálaskarð ;425; HS ; -22.89409 ; 66.37372 
 IS-4-0430 ; Gýgjarskarð ;430; HS ; -23.65512 ; 65.59273 
 IS-4-0430a ; Hvannadalsskarð ;430; HS ; -22.555454 ; 66.446823 
 IS-4-0430b ; Kjaransvíkurskarð ;430; HS ; -22.74946 ; 66.3862 
 IS-4-0445 ; Breiðaskarð ;445; HS ; -23.31055 ; 65.60137 
 IS-4-0450 ; Hlöðuvíkurskarð ;450; HS ; -22.64497 ; 66.38856 
 IS-4-0450a ; Svínaskarð ;450; HS ; -22.76581 ; 66.33751 
 IS-4-0455 ; Bakkaskarð ;455; HS ; -23.50898 ; 66.16637 
 IS-4-0456 ; Dufansdalsskarð ;456; HS ; -23.66865 ; 65.60321 
 IS-4-0466 ; Heiðaskarð ;466; HS ; -21.83726 ; 65.65685 
 IS-4-0468 ; Þverdalsskarð ;468; Vestfjarðavegur ; -23.24203 ; 65.63135 
 IS-4-0469 ; Hrolleifsborgarháls ;469; HS ; -22.12726 ; 66.18837 
 IS-4-0490 ; Litluskörð ;490; HS ; -22.30919 ; 66.31828 
 IS-4-0490a ; Núpsskarð ;490; HS ; -23.60505 ; 65.97576 
 IS-4-0510 ; Skarð ;510; HS ; -23.72209 ; 65.56391 
 IS-4-0517 ; Breiðaskarð ;517; HS ; -22.43931 ; 66.37224 
 IS-4-0519 ; Hafnarskarð ;519; HS ; -22.55947 ; 66.38919 
 IS-4-0521 ; Folaskarð ;521; HS ; -23.70349 ; 65.67628 
 IS-4-0530 ; Gyltuskarð ;530; HS ; -23.2853 ; 66.06843 
 IS-4-0530a ; Laugaskarð ;530; HS ; -23.47508 ; 66.10445 
 IS-4-0530b ; Tindasskörð ;530; HS ; -22.74643 ; 66.20187 
 IS-4-0539 ; Heiðarskarð ;539; HS ; -23.25223 ; 66.09405 
 IS-4-0544 ; Kvennaskarð ;544; R ; -23.63624 ; 65.80696 
 IS-4-0546 ; Göngudalsskarð ;546; HS ; -23.56923 ; 65.80344 
 IS-4-0550 ; Lækjarskarð ;550; HS ; -23.36448 ; 65.57829 
 IS-4-0550a ; Öldugilsskarð ;550; HS ; -22.51726 ; 66.17766 
 IS-4-0550b ; Pyttaskarð ;550; HS ; -23.28912 ; 65.51505 
 IS-4-0550c ; Klakksskarð ;550; HS ; -23.29187 ; 65.61088 
 IS-4-0550d ; Fellsháls ;550; HS ; -23.237 ; 66.02767 
 IS-4-0561 ; Rangalaskarð ;561; HS ; -22.49035 ; 66.36681 
 IS-4-0570 ; Gróuskarð ;570; HS ; -23.52814 ; 65.81821 
 IS-4-0574 ; Dynjandisskarð ;574; HS ; -22.56555 ; 66.17419 
 IS-4-0590 ; Gönguskarð ;590; HS ; -23.37176 ; 66.14271 
 IS-4-0598 ; Breiðadalsskarð ;598; HS ; -23.29597 ; 66.03326 
 IS-4-0602 ; Tindaskarð ;602; HS ; -22.54402 ; 66.38116 
 IS-4-0610 ; Hringsdalsskarð ;610; HS ; -23.81316 ; 65.68871 
