 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 IT-AG-0140 ; Sella Omomorto ;155; SP 75 ; 13.36981 ; 37.362136 
 IT-AG-0151 ; Portella Palumbo ;151; R1/Str ; 13.777283 ; 37.158511 
 IT-AG-0162 ; Portella di Rocca Corvo ;162; SP 64 ; 13.6931 ; 37.211812 
 IT-AG-0256 ; Portella Milione ;256; SP ; 13.481389 ; 37.353055 
 IT-AG-0261 ; Portella Corso ;261; SS 123 ; 13.885807 ; 37.176547 
 IT-AG-0262 ; Portella dei Lupi ;262; R1/Str ; 13.987344 ; 37.238057 
 IT-AG-0281 ; Portella Puledro ;281; R1/Str ; 13.386112 ; 37.419722 
 IT-AG-0296 ; Portella Misilbesi ;296; SP ; 13.017779 ; 37.646112 
 IT-AG-0297 ; Portella Cuscheri ;297; SP 29 ; 13.399019 ; 37.426354 
 IT-AG-0308 ; Portella di Corvo ;308; SC ; 13.752014 ; 37.308912 
 IT-AG-0318 ; Portella Creta ;318; S ; 13.455962 ; 37.40848 
 IT-AG-0320 ; Portella di Pezze ;320; S ; 13.665574 ; 37.36625 
 IT-AG-0323 ; Portella di Naro ;323; SP 46 ; 13.86387 ; 37.204732 
 IT-AG-0349 ; Portella Cipolla ;349; SP5 ; 13.850835 ; 37.196667 
 IT-AG-0362 ; Sella della Croce ;362; S ; 13.41729 ; 37.480278 
 IT-AG-0387 ; Portella Grancifone ;387; R1/Str ; 13.740397 ; 37.237485 
 IT-AG-0405 ; Portella dell'Alvano ;405; SP ; 13.41285 ; 37.436052 
 IT-AG-0405a ; Portella dell'Arigano ;405; R1/Str ; 13.192432 ; 37.653767 
 IT-AG-0463 ; Sella Monello ;463; SS 122-SS 410 ; 13.727477 ; 37.341051 
 IT-AG-0500 ; Portella Caterina ;500; R1/Str ; 13.3175 ; 37.561389 
 IT-AG-0507 ; Portella Fanzina ;507; R1/Str ; 13.809599 ; 37.336069 
 IT-AG-0510 ; Portella Orlando ;510; SP ; 13.802637 ; 37.339033 
 IT-AG-0523 ; Portella Rossa ;523; R1/Str ; 13.280319 ; 37.633592 
 IT-AG-0544 ; Portella Tanabuto ;544; SP 20 ; 13.573055 ; 37.538889 
 IT-AG-0562 ; Portella del Pianetto ;562; SP ; 13.126991 ; 37.69982 
 IT-AG-0562a ; Portella di Don Liborio ;562; R1/Str ; 13.821019 ; 37.675312 
 IT-AG-0572 ; Portella del Lupo ;572; S ; 13.592075 ; 37.533939 
 IT-AG-0573 ; Portella di Casabella ;573; S ; 13.815985 ; 37.677205 
