 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 LA-BL-0745 ; Xong Chomphoukèo-Nua ;745; QL8A ; 105.1593 ; 18.38627 
 LA-CH-0175 ; Xong Phok ;175; S ; 105.4894 ; 15.19317 
 LA-CH-0180 ; Xong Mek ;180;16; 105.4684 ; 15.13336 
 LA-CH-0205 ; Xong Houaylua ;205; S ; 105.5126 ; 14.76619 
 LA-CH-0205a ; Xong Nang ;205; S ; 105.5156 ; 14.79258 
 LA-CH-0255 ; Xong Ta-U ;255; R1 ; 105.524604 ; 14.703535 
 LA-CH-0265 ; Chong Phalan Kratai ;265; HS ; 105.542806 ; 14.865951 
 LA-CH-0345 ; Xong Bankok ;345; HS ; 105.419 ; 14.42321 
 LA-CH-0355 ; Chong Bok ;355; HS ; 105.2065 ; 14.34331 
 LA-CH-0355a ; Anma Banko ;355; HS ; 105.5256 ; 14.63558 
 LA-CH-0355b ; Xong Pongdeng ;355; HS ; 105.2961 ; 14.3691 
 LA-CH-0355c ; Anma Plakang ;355; HS ; 105.459371 ; 14.464543 
 LA-CH-0375 ; Anma Khammék ;375; HS ; 105.4737 ; 14.48066 
 LA-CH-0385 ; Chong Kruma ;385; S ; 105.225931 ; 14.333424 
 LA-CH-0395 ; Anma Banhouayphung ;395; HS ; 105.5248 ; 14.64837 
 LA-HO-1525 ; Col du Pau But ;1525; HS ; 104.36 ; 20.24161 
 LA-KH-0425 ; Anma Mouya ;425; QL12A ; 105.7653 ; 17.67203 
 LA-PH-0795 ; Anma Oula ;795; R1 ; 101.7129 ; 22.11208 
 LA-PH-1085 ; Anma Desoua ;1085; 1A ; 101.8917 ; 21.91721 
 LA-PH-1195 ; Deo Tay Trang ;1195; QL279 ; 102.9108 ; 21.22634 
 LA-PH-1195a ; Col de Neu Tan ;1195; R ; 101.620888 ; 22.275267 
 LA-PH-1215 ; Anma Linva ;1215; R ; 101.6334 ; 22.19553 
 LA-PH-1375 ; Anma Latu ;1375; HS ; 101.661 ; 22.32438 
 LA-PH-1615 ; Anma Valin ;1615; HS ; 101.6208 ; 22.17322 
 LA-XA-0555 ; Chong Huai Lo ;555; 4A ; 101.0891 ; 19.59756 
 LA-XE-0745 ; Deo Ba Lach ;745; QL14 ; 107.372 ; 16.06662 
 LA-XE-1145 ; Deo A Yen ;1145; QL14 old ; 107.4512 ; 15.99283 
 LA-XS-0835 ; Anma Keosonglai ;835; R1 ; 103.2775 ; 18.72426 
 TH-22-0115 ; Chong Ban Nong Krathing ;115; HS ; 102.489612 ; 13.022788 
 TH-23-0355 ; Chong Ban Mamuang ;355; R1 ; 102.682472 ; 12.546516 
 TH-23-0415 ; Chong Khap Chong Khaep ;415; R1 ; 102.616491 ; 12.616098 
 TH-23-0455 ; Chong Ban Nong Bon ;455; HS ; 102.506058 ; 12.684542 
 TH-31-0235 ; Chong Chan Kahom ;235; R ; 103.185166 ; 14.334892 
 TH-31-0255 ; Chong Chan Thop Phet ;255; HS ; 103.145396 ; 14.325942 
 TH-31-0255a ; Chong Chan Daeng ;255; HS ; 103.205568 ; 14.32692 
 TH-31-0255b ; Chong Am Puen ;255; HS ; 103.227266 ; 14.327581 
 TH-31-0295 ; Chong O-bok ;295; R ; 103.122765 ; 14.302056 
 TH-31-0335 ; Chong Baranae ;335; HS ; 102.962866 ; 14.212282 
 TH-31-0345 ; Chong O Malu ;345; HS ; 103.049756 ; 14.265701 
 TH-31-0345a ; Chong Mekha ;345; HS ; 103.090674 ; 14.296808 
 TH-31-0365 ; Chong Kradon ;365; HS ; 103.065408 ; 14.285968 
 TH-31-0375 ; Chong Ta Phek ;375; HS ; 102.944004 ; 14.198134 
 TH-32-0215 ; Chong Prasat Ta Muan ;215; S ; 103.266763 ; 14.349704 
 TH-32-0225 ; Chap Khamao ;225; HS ; 103.287773 ; 14.349864 
 TH-32-0235 ; Chong Krang ;235; R ; 103.325694 ; 14.35187 
 TH-32-0245 ; Chong Don Kaeo ;245; HS ; 103.612252 ; 14.414505 
 TH-32-0245a ; Chong Chom ;245; R ; 103.704117 ; 14.433728 
 TH-32-0255 ; Chong Rayi ;255; S ; 103.653993 ; 14.412968 
 TH-32-0255a ; Chong Proe ;255; HS ; 103.650106 ; 14.434819 
 TH-32-0265 ; Chong Tik Bo ;265; S ; 103.364136 ; 14.352526 
 TH-32-0265a ; Chong Pling ;265; S ; 103.702499 ; 14.407039 
 TH-32-0275 ; Chong Tiak Kae ;275; HS ; 103.769719 ; 14.36668 
 TH-32-0275a ; Chong Charap Prathum ;275; HS ; 103.447612 ; 14.373754 
 TH-32-0275b ; Chong Khan Thoeng ;275; HS ; 103.477585 ; 14.378033 
 TH-32-0275c ; Chong Khao Laem ;275; HS ; 103.494865 ; 14.388076 
 TH-32-0285 ; Chong Prasat Khwai ;285; HS ; 103.376075 ; 14.352502 
 TH-32-0285a ; Chong Khok Daeng ;285; HS ; 103.431937 ; 14.389457 
 TH-32-0295 ; Chong Heo ;295; HS ; 103.406978 ; 14.37013 
 TH-32-0305 ; Chong Pradek ;305; HS ; 103.794475 ; 14.366735 
 TH-32-0305a ; Chong Chok ;305; HS ; 103.709678 ; 14.379888 
 TH-32-0345 ; Chong Pradok ;345; HS ; 103.815673 ; 14.35554 
 TH-32-0355 ; Chong Talok ;355; HS ; 103.940056 ; 14.331054 
 TH-32-0375 ; Chong Phanom Tabaeng ;375; HS ; 103.439083 ; 14.380302 
 TH-32-0385 ; Chong Kraban Samo ;385; HS ; 103.976166 ; 14.352662 
 TH-32-0385a ; Chong Phran ;385; HS ; 103.828284 ; 14.358156 
 TH-32-0395 ; Chong Kradon ;395; HS ; 104.010271 ; 14.349524 
 TH-32-0415 ; Chong Raniam ;415; HS ; 103.859038 ; 14.367484 
 TH-32-0415a ; Chong Lam En ;415; HS ; 103.851616 ; 14.368912 
 TH-32-0435 ; Chong Phrik ;435; HS ; 103.959642 ; 14.349979 
 TH-33-0215 ; Chong Dam Phaka ;215; HS ; 104.808192 ; 14.436865 
 TH-33-0265 ; Chong Phra Phalai ;265; HS ; 104.491281 ; 14.378025 
 TH-33-0275 ; Chong Ta Thao ;275; Route 221 ; 104.714063 ; 14.432951 
 TH-33-0315 ; Chong Thap U ;315; HS ; 104.534748 ; 14.355865 
 TH-33-0395 ; Chong Samron ;395; HS ; 104.120482 ; 14.374536 
 TH-33-0465 ; Chong Ta Mi ;465; HS ; 104.13873 ; 14.363904 
 TH-33-0465a ; Chong Chabok ;465; HS ; 104.177232 ; 14.379811 
 TH-33-0475 ; Chong Ta Prom ;475; HS ; 104.418096 ; 14.370159 
 TH-33-0475a ; Chong Ai Nak ;475; HS ; 104.400465 ; 14.370981 
 TH-33-0475b ; Chong Yu ;475; HS ; 104.107069 ; 14.372233 
 TH-33-0485 ; Chong Kraban Krabai ;485; HS ; 104.431541 ; 14.361399 
 TH-33-0495 ; Chong Pa Ung ;495; HS ; 104.241934 ; 14.375448 
 TH-33-0495a ; Chong Kaban Charok ;495; HS ; 104.246518 ; 14.376938 
 TH-33-0535 ; Chong Khao Phrom Wihan ;535; R ; 104.68252 ; 14.398899 
 TH-33-0545 ; Chong Mang Cha ;545; HS ; 104.268118 ; 14.401089 
 TH-33-0565 ; Chong Don Po ;565; HS ; 104.382783 ; 14.375611 
 TH-33-0615 ; Chong Phoeng Phra Phut ;615; HS ; 104.567615 ; 14.358846 
 TH-33-0625 ; Chong Don Ao ;625; HS ; 104.578945 ; 14.36803 
 TH-34-0175 ; Hom Phok ;175; S ; 105.4894 ; 15.19317 
 TH-34-0180 ; Chong Mek ;180; Route 217 ; 105.4684 ; 15.13336 
 TH-34-0205 ; Chong Huai Hua ;205; HS ; 105.5126 ; 14.76619 
 TH-34-0205a ; Chong Nang ;205; HS ; 105.5156 ; 14.79258 
 TH-34-0255 ; Chong Tha Khong ;255; R1 ; 105.524604 ; 14.703535 
 TH-34-0265 ; Chong Phalan Kratai ;265; HS ; 105.542806 ; 14.865951 
 TH-34-0345 ; Chong Ban Ko ;345; HS ; 105.419 ; 14.42321 
 TH-34-0355 ; Chong Bok ;355; S ; 105.2065 ; 14.34331 
 TH-34-0355a ; Chong Ban Ko ;355; HS ; 105.5256 ; 14.63558 
 TH-34-0355b ; Chong Pong Daeng ;355; HS ; 105.2961 ; 14.3691 
 TH-34-0355c ; Chong Pla Kang ;355; HS ; 105.459371 ; 14.464543 
 TH-34-0375 ; Chong Kham Mek ;375; HS ; 105.4737 ; 14.48066 
 TH-34-0385 ; Chong Kruma ;385; HS ; 105.225931 ; 14.333424 
 TH-34-0395 ; Chong Ban Huai Phueng ;395; HS ; 105.5248 ; 14.64837 
 TH-34-0435 ; Chong Anma ;435; HS ; 104.932609 ; 14.393495 
 TH-39-0235 ; Chong Khao San ;235; Route 2097 ; 102.370653 ; 17.496963 
 TH-39-0375 ; Chong Kham Phak Khao ;375; HS ; 102.506999 ; 17.138517 
 TH-41-0345 ; Chong Pha Dang ;345; HS ; 102.606236 ; 17.028829 
 TH-41-0365 ; Chong Chat ;365; R1 ; 102.564744 ; 17.052101 
 TH-55-0555 ; Chong Huai Lo ;555; Route 4A ; 101.0891 ; 19.59756 
 TH-63-0840 ; Mikwi Pass ;840; S ; 98.6067 ; 15.982757 
 TH-71-0085 ; Chong Kariang ;85; HS ; 99.4232 ; 13.954824 
 TH-71-0220 ; Chong Khao Khat ;220; R ; 98.952501 ; 14.355425 
 TH-71-0605 ; Amya Pass ;605; HS ; 99.101444 ; 13.836283 
 TH-77-0245 ; Maw-daung Pass ;245; Route ; 99.641105 ; 11.789611 
 TH-77-0385 ; Pong Phai Pass ;385; HS ; 99.604883 ; 11.870056 
 TH-90-0155 ; Chong Khi Phra Fai ;155; R1 ; 100.502435 ; 6.499555 
 TH-90-0185 ; Chong Hun Phat ;185; S ; 100.743259 ; 6.473491 
 TH-90-0205 ; Chong Kara ;205; HS ; 100.840741 ; 6.300083 
 TH-90-0215 ; Chong Khla ;215; HS ; 100.760818 ; 6.456486 
 TH-90-0305 ; Chong Panet ;305; HS ; 100.821323 ; 6.369862 
 TH-90-0305a ; Chong Saba Phen ;305; HS ; 100.628656 ; 6.45802 
 TH-90-0305b ; Chong Ti Mun ;305; HS ; 100.741488 ; 6.502515 
 TH-91-0205 ; Genting Nisam ;205; HS ; 100.159457 ; 6.494767 
 TH-95-0305 ; Genting Debu ;305; HS ; 100.999385 ; 6.261121 
 TH-95-0355 ; Kenting Simpangpera ;355; R1 ; 101.059455 ; 5.7445 
 TH-95-0355a ; Genting Kerenai ;355; HS ; 100.837853 ; 6.282852 
 TH-95-0395 ; Genting Berapit ;395;77; 101.0287 ; 5.74769 
 TH-95-0635 ; Genting Langsat ;635; HS ; 101.389038 ; 5.856838 
 TH-96-0555 ; Kenting Luat Lantae ;555; HS ; 101.612388 ; 5.912559 
 VN-01-0585 ; Deo Pa Sa ;585; QL100 ; 103.296 ; 22.57691 
 VN-01-0765 ; Deo Po Qui ;765; R ; 103.6846 ; 22.2511 
