 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 NO-02-0615 ; Klofjellgapet ;615; HS ; 10.95742 ; 60.31734 
 NO-03-0586 ; Porten ;586; S ; 10.63315 ; 60.08709 
 NO-04-0543 ; Ulvbergskaret ;543; R1 ; 10.93888 ; 61.59145 
 NO-04-0604 ; Madsskardet ;604; R1 ; 11.09559 ; 61.51814 
 NO-04-0660 ; Holskardet ;660; HS ; 10.69803 ; 61.75164 
 NO-04-0703 ; Veslskardet ;703; S ; 10.73228 ; 62.07538 
 NO-04-0742 ; Skaret ;742; R1 ; 10.96871 ; 62.4486 
 NO-04-0746 ; Gaupskardet ;746; S ; 10.80656 ; 62.05541 
 NO-04-0760 ; Gravskardet ;760; HS ; 10.77485 ; 61.6664 
 NO-04-0764 ; Skardet ;764; R1 ; 10.97475 ; 62.45177 
 NO-04-0794 ; Nordre Skardet ;794; HS ; 11.03895 ; 62.57311 
 NO-04-0801 ; Kommanderskardet ;801; HS ; 12.06425 ; 61.94458 
 NO-04-0802 ; Midtgapet ;802; HS ; 11.70896 ; 62.28874 
 NO-04-0820 ; Rakstvegskardet ;820; S ; 12.07478 ; 61.91938 
 NO-04-0850 ; Kvannskardet ;850; HS ; 10.7369 ; 61.66455 
 NO-04-0860 ; Hallsteinsskardet ;860; HS ; 12.10283 ; 61.90142 
 NO-04-0860a ; Vintervegskardet ;860; S ; 12.08977 ; 61.91343 
 NO-04-0860b ; Ørnskardet ;860; HS ; 12.0809 ; 61.93584 
 NO-04-0870 ; Nysæterskardet ;870; S ; 10.60355 ; 61.75572 
 NO-04-0874 ; Vesleskaret ;874; S ; 11.00703 ; 61.81567 
 NO-04-0895 ; Gravdalsskaret ;895; HS ; 11.48015 ; 61.49708 
 NO-04-0901 ; Urdskardet ;901; S ; 10.64621 ; 62.03957 
 NO-04-0910 ; Dalbuskardet ;910; HS ; 10.7778 ; 61.62821 
 NO-04-0970 ; Skaret ;970; HS ; 10.30071 ; 62.17379 
 NO-04-0975 ; Bjønnklettskaret ;975; S(S) ; 10.31562 ; 62.24062 
 NO-04-0991 ; Skardet ;991; HS ; 10.30782 ; 61.9138 
 NO-04-0995 ; Vardtjønnskardet ;995; S ; 10.49346 ; 62.05564 
 NO-04-0995a ; Skaret ;995; HS ; 10.37014 ; 61.87288 
 NO-04-1030 ; Gålglupen ;1030; HS ; 10.69567 ; 61.49438 
 NO-04-1030a ; Skaret ;1030; S ; 10.79524 ; 61.46696 
 NO-04-1031 ; Nørdre Svarthammarskardet ;1031; S ; 12.04194 ; 61.78099 
 NO-04-1034 ; Storskardet ;1034; HS ; 9.85108 ; 62.19117 
 NO-04-1046 ; Søndre Svarthammerskardet ;1046; S ; 12.02287 ; 61.77583 
 NO-04-1049 ; Vesleskardet ;1049; S ; 11.52444 ; 61.92588 
 NO-04-1051 ; Moliskardet ;1051; S ; 12.02211 ; 61.7626 
 NO-04-1053 ; Storskardet ;1053; S ; 10.43802 ; 62.05383 
 NO-04-1116 ; Mjeltskaret ;1116; S ; 10.3148 ; 62.2156 
 NO-04-1136 ; Bjørnskardet ;1136; S ; 10.06287 ; 62.26124 
 NO-04-1143 ; Storskaret ;1143; S ; 10.27967 ; 62.12387 
 NO-04-1152 ; Grytskardet ;1152; S ; 9.73604 ; 62.24747 
 NO-04-1154 ; Einståkåskardet ;1154; S ; 9.96806 ; 62.27913 
 NO-04-1160 ; Sandtjørnskardet ;1160; HS ; 10.07199 ; 62.38973 
 NO-04-1174 ; Østerdalsskardet ;1174; HS ; 10.132 ; 62.24681 
 NO-04-1201 ; Storslågskardet ;1201; S ; 12.0617 ; 62.13285 
 NO-04-1223 ; Styggskardet ;1223; S ; 10.07969 ; 61.7784 
 NO-04-1235 ; Grøtørskardet ;1235; S(S) ; 10.27418 ; 61.71413 
 NO-04-1245 ; Døltjørnskardet ;1245; HS ; 9.97499 ; 62.39109 
 NO-04-1249 ; Sølenskardet ;1249; S ; 11.50132 ; 61.87291 
 NO-04-1254 ; Storskardet ;1254; HS ; 9.872 ; 62.21032 
 NO-04-1257 ; Brennknattskardet ;1257; S ; 10.02551 ; 62.18454 
 NO-04-1260 ; Medtjørnskardet ;1260; HS ; 10.24733 ; 62.35291 
 NO-04-1262 ; Valdresskardet ;1262; HS ; 10.12478 ; 61.8331 
 NO-04-1284 ; Skardet ;1284; S ; 10.09581 ; 62.32068 
 NO-04-1291 ; Veslskardet ;1291; S ; 9.6244 ; 62.15576 
