 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 PT-01-0266 ; Portela de Cácemes ;266; CV ; -8.359933 ; 40.346649 
 PT-01-0429 ; Portelinha ;429; R ; -8.301862 ; 40.932596 
 PT-01-0615 ; Portela da Felgueira ;615; R ; -8.28162 ; 40.53418 
 PT-01-0912 ; Portal do Inferno ;912; R ; -8.10937 ; 40.87316 
 PT-01-1016 ; Portela da Anta ;1016; S ; -8.254239 ; 40.858735 
 PT-02-0146 ; Portela de Soares ;146; S ; -8.45379 ; 37.477346 
 PT-02-0148 ; Portela do Moinho ;148; R1 ; -8.21562 ; 37.44708 
 PT-02-0164 ; Portela da Zambreira ;164; N265 ; -7.593 ; 37.63413 
 PT-02-0165 ; Portela do Moinho ;165; R1 ; -8.292548 ; 37.508622 
 PT-02-0167 ; Portela do Moinho ;167; R1 ; -8.377453 ; 37.551979 
 PT-02-0176 ; Portela do Mato ;176; S ; -8.445369 ; 37.494879 
 PT-02-0205 ; Portela da Choça ;205; R ; -8.506352 ; 37.399518 
 PT-02-0208 ; Portela da Cruz ;208; lc1 ; -8.282586 ; 37.514856 
 PT-02-0236 ; Portela do Mestre ;236; R ; -8.259575 ; 37.418944 
 PT-02-0256 ; Portela Baixa ;256; S ; -8.407313 ; 37.611334 
 PT-02-0287 ; Portela Baixa ;287; N383 ; -8.241394 ; 37.492626 
 PT-02-0296 ; Portela dos Caibros ;296; En266/N266 ; -8.48247 ; 37.38336 
 PT-02-0300 ; Portela da Formiga ;300; S ; -8.034343 ; 37.490355 
 PT-02-0344 ; Portela da Cabana ;344; S ; -8.627171 ; 37.392528 
 PT-02-0353 ; Portela Má ;353; S ; -8.390499 ; 37.604873 
 PT-03-0205 ; Portela de Agudelo ;205; R ; -8.643444 ; 41.654489 
 PT-03-0545 ; Portela do Monte ;545; R1 ; -8.089768 ; 41.707178 
 PT-03-0575 ; Portela da Asnela ;575; R ; -7.93217 ; 41.53605 
 PT-03-0720 ; Portela das Areias ;720; R ; -8.04171 ; 41.52637 
 PT-03-0757 ; Portela do Home ;755; Or-312 ; -8.131565 ; 41.809117 
 PT-03-0815 ; Portela ;815; R ; -8.23807 ; 41.70744 
 PT-03-0855 ; Portela de Leonte ;855; N308-1 ; -8.14679 ; 41.7671 
 PT-03-0862 ; Portela ;862; CL ; -8.06553 ; 41.65568 
 PT-03-0965 ; Portela de São Bento ;965; S ; -7.992835 ; 41.624975 
 PT-03-1075 ; Portela Velha ;1075; S ; -7.967119 ; 41.603026 
 PT-03-1335 ; Portela do Sobreiro ;1335; HS ; -8.057966 ; 41.816022 
 PT-03-1352 ; Portela da Amoreira ;1352; HS ; -8.061964 ; 41.816019 
 PT-04-0452 ; Portela do Ferronho ;452; S ; -6.884072 ; 41.131989 
 PT-04-0561 ; Portelas ;561; S ; -6.949371 ; 41.086812 
 PT-04-0562 ; Portela das Eiras ;562; HS ; -6.76364 ; 41.45768 
 PT-04-0563 ; Portela ;563; Cm1148-1 ; -7.15998 ; 41.28475 
 PT-04-0585 ; Portela ;585; R ; -6.82522 ; 41.53299 
 PT-04-0592 ; Portela de Saradelo ;592; S ; -6.75933 ; 41.26342 
 PT-04-0595 ; Portela da Chaiça ;595; R ; -6.868666 ; 41.448437 
 PT-04-0605 ; Portela de Malara ;605; R ; -6.699487 ; 41.824784 
 PT-04-0609 ; Portela ;609; R1 ; -6.890855 ; 41.225364 
 PT-04-0650 ; Portela ;650; R ; -7.083554 ; 41.864514 
 PT-04-0668 ; Portela do Bacelo ;668; R ; -6.65798 ; 41.43969 
 PT-04-0675 ; Portela ;675; R ; -6.837224 ; 41.576484 
 PT-04-0678 ; Colado ;678; N103/R1 ; -6.937013 ; 41.838403 
 PT-04-0701 ; Portela da Rainha ;701; S ; -6.78222 ; 41.21351 
 PT-04-0705 ; Portela ;705; R ; -6.7751 ; 41.38026 
 PT-04-0725 ; Portela da Espadana ;725; S ; -6.511126 ; 41.660899 
 PT-04-0727 ; Portelas ;727; R ; -6.55861 ; 41.79156 
 PT-04-0738 ; Portela da Açoreira ;738; S ; -7.02982 ; 41.14757 
 PT-04-0753 ; Portela da Carvalha ;753; HS ; -6.845978 ; 41.619382 
 PT-04-0756 ; Portela ;756; S ; -6.78959 ; 41.73629 
 PT-04-0804 ; Portelo do Nuzedo ;804; R ; -7.044107 ; 41.738123 
 PT-04-0811 ; Portela ;811; R ; -7.168813 ; 41.82652 
 PT-04-0815 ; Portelo Formoso ;815; S ; -7.054935 ; 41.745084 
 PT-04-0816 ; Portela do Anastácio ;816; S ; -7.03919 ; 41.16242 
 PT-04-0818 ; Portela ;818; N613 ; -6.99515 ; 41.17071 
 PT-04-0825 ; Portela ;825; R ; -6.827474 ; 41.710385 
 PT-04-0828 ; Portela dos Pegeiros ;828; S ; -7.087035 ; 41.93026 
 PT-04-0853 ; Portela da Serra ;853; S ; -6.68078 ; 41.31229 
 PT-04-0865 ; Portela da Abelheira ;865; R ; -7.064054 ; 41.82254 
 PT-04-0896 ; El Portillo ;896; R ; -6.448124 ; 41.683943 
 PT-04-0927 ; Portela ;927; S ; -6.796514 ; 41.883489 
 PT-04-0955 ; Portela de Lama Cerdeira ;955; S ; -6.910704 ; 41.747831 
 PT-04-1135 ; Portela do Cerro da Esculqueira ;1135; R1 ; -7.087606 ; 41.973583 
 PT-05-0182 ; Portela do Freixo ;182; S ; -8.233491 ; 39.708668 
 PT-05-0246 ; Portela do Fojo ;246; HS ; -8.14251 ; 39.786992 
 PT-05-0257 ; Portela de Oliveira ;257; N238/R1 ; -8.225353 ; 39.783422 
 PT-05-0389 ; Portela da Milhariça ;389; lp2 ; -7.71612 ; 39.688904 
 PT-05-0489 ; Portela do Telhadouro ;489; S ; -7.81352 ; 39.989616 
 PT-05-0518 ; Portela do Moreira ;518; S ; -7.785709 ; 40.060376 
 PT-05-0549 ; Portela ;549; S1 100m R1 ; -7.623747 ; 40.187541 
 PT-05-0585 ; Portela do Sinal ;585; Em529-1 ; -8.00045 ; 39.81867 
 PT-05-0636 ; Selada dos Burreiros ;636; N238 ; -7.760081 ; 39.966417 
 PT-05-0645 ; Portela dos Lobos ;645; R ; -6.981608 ; 40.035789 
 PT-05-0696 ; Portela do Armadoura ;696; N343/En344 ; -7.860422 ; 40.058682 
 PT-05-0717 ; Portela da Casa Branca ;717; N230 ; -7.6719 ; 40.23288 
 PT-05-0759 ; Portelo ;759; R1 ; -7.761727 ; 39.940925 
 PT-05-0767 ; Selada da Recusa ;767; N238 ; -7.773331 ; 39.952091 
 PT-05-0785 ; Portela do Vale Castanho ;785; R ; -7.82127 ; 39.94335 
 PT-05-0855 ; Portela ;855; S ; -7.484006 ; 40.315992 
 PT-05-0885 ; Portela de São Jorge da Beira ;885; R1 ; -7.796492 ; 40.161633 
 PT-05-0934 ; Portela do Carvalho ;934; Em511 ; -7.74143 ; 40.23566 
 PT-06-0095 ; Portela de Santa Cristina ;95; CL ; -8.380253 ; 40.149935 
 PT-06-0115 ; Portela de Torres ;115; R1 ; -8.278863 ; 40.152478 
 PT-06-0236 ; Portelada ;236; R ; -8.37599 ; 40.33354 
 PT-06-0243 ; Portela da Urgueira ;243; Em522 ; -8.116539 ; 40.256958 
 PT-06-0284 ; Portela do Coimbrão ;284; R ; -8.348931 ; 40.196066 
 PT-06-0405 ; Portela de Albargaria ;405; En342/R1 ; -8.158139 ; 40.138199 
 PT-06-0415 ; Portela de Góis ;415; En342/En2 ; -8.135722 ; 40.14445 
 PT-06-0433 ; Portela da Armada ;433; R ; -8.34341 ; 40.34869 
 PT-06-0629 ; Selada do Mucilhão ;629; Estrada Em542 ; -8.033603 ; 40.17316 
 PT-06-0648 ; Portela da Ferraria ;648; R ; -8.324585 ; 39.975905 
 PT-06-0655 ; Portela do Papão ;655; S ; -7.93697 ; 40.08165 
 PT-06-0684 ; Selada da Boiça ;684; R ; -8.143792 ; 40.029671 
 PT-06-0689 ; Selada Porta ;689; CL ; -7.789731 ; 40.107376 
 PT-06-0698 ; Selada das Raposas ;698; S ; -8.117067 ; 40.04837 
 PT-06-0705 ; Portela do Ribeiro ;705; En344 ; -7.8897 ; 40.09806 
 PT-06-0714 ; Selada do Candam ;714; R ; -7.911352 ; 40.247719 
 PT-06-0799 ; Selada das Eiras ;799; Estrada Em544 ; -7.975395 ; 40.185344 
 PT-06-0816 ; Portela de Unhais ;816; En343/Cm1374/C.L. ; -7.800762 ; 40.124022 
