 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 CH-AG-0476 ; Ebni ;476;; 8.369988 ; 47.559621 
 CH-AG-0477 ; Zurzacherberg Passhöhe ;477;; 8.277582 ; 47.575337 
 CH-AG-0494 ; Cholplatz ;494;; 8.231071 ; 47.405671 
 CH-AG-0508 ; Egg ;508;; 7.860464 ; 47.532625 
 CH-AG-0539 ; Kornberg ;539;; 8.024903 ; 47.471506 
 CH-AG-0550 ; Bürersteig ;550;; 8.159198 ; 47.528347 
 CH-AG-0551 ; Weissenbühl ;551;; 8.367337 ; 47.3623 
 CH-AG-0569 ; Bözbergpass ;569;; 8.138734 ; 47.480911 
 CH-AG-0577 ; Schartenegg ;577;; 8.159043 ; 47.531604 
 CH-AG-0579a ; Ampferehöchi ;579;; 8.12381 ; 47.518101 
 CH-AG-0585 ; Wasserscheide ;585;; 8.02992 ; 47.462261 
 CH-AG-0590 ; Höchi ;590;; 8.063882 ; 47.292473 
 CH-AG-0600 ; Sattel ;616;; 8.028866 ; 47.282142 
 CH-AG-0602 ; Egg ;599;; 8.190996 ; 47.54107 
 CH-AG-0603 ; Pfaffenbergpass ;603;; 8.103641 ; 47.291792 
 CH-AG-0611 ; Bööler Passhöchi ;611;; 8.084159 ; 47.307455 
 CH-AG-0621 ; Staffelegg ;621;; 8.06024 ; 47.433914 
 CH-AG-0621a ; Tanzplatz ;621;; 8.096813 ; 47.299845 
 CH-AG-0623 ; Bänkelloch ;623;; 8.087545 ; 47.281441 
 CH-AG-0637 ; Grueb ;637;; 8.013998 ; 47.441969 
 CH-AG-0643 ; Gatter ;643;; 8.097439 ; 47.423473 
 CH-AG-0648 ; Rinderplatz ;648;; 8.31558 ; 47.438269 
 CH-AG-0664 ; Heitersbergpass ;664;; 8.337196 ; 47.417487 
 CH-AG-0674 ; Benkerjoch ;674;; 8.0301 ; 47.435466 
 CH-AG-0730 ; Rohregg ;730;; 8.036169 ; 47.44469 
 CH-AG-0763 ; Salhöhe ;763;; 7.993273 ; 47.42893 
 CH-AG-0778 ; Lägernsattel ;778;; 8.355114 ; 47.479949 
 CH-AG-0779 ; Salhöhe ;787;; 7.985957 ; 47.428928 
 CH-AI-0785 ; Bühl ;785;; 9.384386 ; 47.345024 
 CH-AI-0928 ; Sammelplatz ;928;; 9.432329 ; 47.348488 
 CH-AI-0956 ; Fegg ;956;; 9.561799 ; 47.410871 
 CH-AI-0959 ; Höhi ;959;; 9.380338 ; 47.33892 
 CH-AI-0986 ; Waldegg ;986;; 9.411141 ; 47.402691 
 CH-AI-1003 ; Ruppenpass ;1003;; 9.509711 ; 47.395576 
 CH-AI-1055 ; Himmelberg ;1055;; 9.369644 ; 47.34223 
 CH-AI-1092 ; Kutterenegg ;1092;; 9.353518 ; 47.341023 
 CH-AI-1168 ; Steigershöhi ;1168;; 9.346375 ; 47.344858 
 CH-AI-1209b ; Ochsenhöhi ;1209;; 9.34079 ; 47.34414 
